,Season,Week,Team,Day,Date,Unnamed: 3,Unnamed: 4,OT,Unnamed: 6,Opp,Tm,Opp.1,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Y/A,NY/A,Cmp%,Rate,Att.1,Yds.2,Y/A.1,TD.1,FGM,FGA,XPM,XPA,Pnt,Yds.3,3DConv,3DAtt,4DConv,4DAtt,ToP,Week.1,Day.1,Date.1,Unnamed: 3.1,Unnamed: 4.1,OT.1,Unnamed: 6.1,Opp.2,Tm.1,Opp.1.1,Cmp.1,Att.2,Yds.4,TD.2,Int.1,Sk.1,Yds.1.1,Y/A.2,NY/A.1,Cmp%.1,Rate.1,Att.1.1,Yds.2.1,Y/A.1.1,TD.1.1,FGM.1,FGA.1,XPM.1,XPA.1,Pnt.1,Yds.3.1,3DConv.1,3DAtt.1,4DConv.1,4DAtt.1,ToP.1
16,2010,1,ATL,Sun,September 12,boxscore,L,OT,@,Pittsburgh Steelers,9,15,27,44,237,0,1,2,15,5.7,5.2,61.4,66.2,25,58,2.3,0,3,4,0,0,7,281,6,16,0,0,30:29,1,Sun,September 12,boxscore,L,OT,@,Pittsburgh Steelers,9,15,18,26,211,0,1,3,25,9.1,7.3,69.2,77.6,31,143,4.6,1,3,5,0,0,5,254,4,14,0,0,32:06
17,2010,2,ATL,Sun,September 19,boxscore,W,,,Arizona Cardinals,41,7,21,32,223,3,0,1,2,7.0,6.8,65.6,117.1,45,221,4.9,2,2,2,5,5,2,68,11,17,1,2,39:13,2,Sun,September 19,boxscore,W,,,Arizona Cardinals,41,7,18,33,149,0,3,2,15,5.0,4.3,54.5,28.5,13,118,9.1,1,0,1,1,1,5,220,0,8,0,1,20:47
18,2010,3,ATL,Sun,September 26,boxscore,W,OT,@,New Orleans Saints,27,24,19,30,215,2,0,2,13,7.6,6.7,63.3,106.9,50,202,4.0,1,2,2,3,3,4,158,9,18,2,3,45:50,3,Sun,September 26,boxscore,W,OT,@,New Orleans Saints,27,24,30,38,355,3,2,2,10,9.6,8.9,78.9,110.0,16,43,2.7,0,1,2,3,3,2,98,6,11,1,2,27:15
19,2010,4,ATL,Sun,October 3,boxscore,W,,,San Francisco 49ers,16,14,26,43,259,1,2,3,14,6.3,5.6,60.5,65.9,29,98,3.4,0,3,3,1,1,5,165,5,14,1,1,29:19,4,Sun,October 3,boxscore,W,,,San Francisco 49ers,16,14,21,32,181,1,2,1,7,5.9,5.5,65.6,64.7,23,81,3.5,0,0,0,2,2,5,216,6,12,1,1,30:41
20,2010,5,ATL,Sun,October 10,boxscore,W,,@,Cleveland Browns,20,10,16,28,173,1,0,2,14,6.7,5.8,57.1,87.4,31,165,5.3,0,2,3,2,2,4,173,6,15,0,0,30:06,5,Sun,October 10,boxscore,W,,@,Cleveland Browns,20,10,25,39,221,1,2,3,25,6.3,5.3,64.1,66.3,20,48,2.4,0,1,1,1,1,5,234,7,15,0,0,29:54
21,2010,6,ATL,Sun,October 17,boxscore,L,,@,Philadelphia Eagles,17,31,23,42,228,2,1,3,22,6.0,5.1,54.8,76.3,19,65,3.4,0,1,2,2,2,6,227,4,14,1,1,25:57,6,Sun,October 17,boxscore,L,,@,Philadelphia Eagles,17,31,23,29,320,3,1,1,6,11.2,10.7,79.3,132.8,38,154,4.1,1,1,4,4,4,2,90,7,14,1,1,34:03
22,2010,7,ATL,Sun,October 24,boxscore,W,,,Cincinnati Bengals,39,32,24,33,299,3,1,0,0,9.1,9.1,72.7,118.1,30,153,5.1,2,1,1,4,4,3,135,7,13,1,1,29:38,7,Sun,October 24,boxscore,W,,,Cincinnati Bengals,39,32,36,50,385,3,0,3,27,8.2,7.3,72.0,114.2,21,84,4.0,0,2,3,2,2,3,125,7,12,0,0,30:22
23,2010,9,ATL,Sun,November 7,boxscore,W,,,Tampa Bay Buccaneers,27,21,24,36,235,1,0,0,0,6.5,6.5,66.7,94.1,33,130,3.9,2,2,2,3,3,3,96,8,14,1,1,34:06,9,Sun,November 7,boxscore,W,,,Tampa Bay Buccaneers,27,21,11,22,182,2,2,1,7,8.6,7.9,50.0,70.6,27,96,3.6,0,0,0,3,3,3,117,8,13,0,1,25:54
24,2010,10,ATL,Thu,November 11,boxscore,W,,,Baltimore Ravens,26,21,32,50,302,3,0,2,14,6.3,5.8,64.0,100.6,23,60,2.6,0,2,2,2,2,5,191,12,20,0,0,35:09,10,Thu,November 11,boxscore,W,,,Baltimore Ravens,26,21,22,34,204,3,1,2,11,6.3,5.7,64.7,98.2,21,116,5.5,0,0,0,3,3,4,198,6,11,0,0,24:51
25,2010,11,ATL,Sun,November 21,boxscore,W,,@,St. Louis Rams,34,17,26,39,253,2,0,0,0,6.5,6.5,66.7,101.8,31,138,4.5,1,4,4,2,2,4,180,9,17,0,0,35:55,11,Sun,November 21,boxscore,W,,@,St. Louis Rams,34,17,27,42,233,2,1,0,0,5.5,5.5,64.3,84.7,12,71,5.9,0,1,1,2,2,5,234,1,10,1,2,24:05
26,2010,12,ATL,Sun,November 28,boxscore,W,,,Green Bay Packers,20,17,24,28,177,1,0,2,20,7.0,5.9,85.7,104.9,27,117,4.3,1,2,2,2,2,4,161,4,12,2,2,31:40,12,Sun,November 28,boxscore,W,,,Green Bay Packers,20,17,26,35,341,1,0,1,3,9.8,9.5,74.3,114.1,23,77,3.3,1,1,1,2,2,2,88,4,11,2,3,28:20
27,2010,13,ATL,Sun,December 5,boxscore,W,,@,Tampa Bay Buccaneers,28,24,18,36,205,2,2,0,0,5.7,5.7,50.0,62.8,27,85,3.1,1,0,0,4,4,5,204,6,11,0,0,28:00,13,Sun,December 5,boxscore,W,,@,Tampa Bay Buccaneers,28,24,20,39,174,2,1,1,9,4.7,4.4,51.3,69.8,29,151,5.2,1,1,1,3,3,7,305,5,15,1,1,32:00
28,2010,14,ATL,Sun,December 12,boxscore,W,,@,Carolina Panthers,31,10,20,34,200,1,1,3,27,6.7,5.4,58.8,73.2,36,127,3.5,3,1,1,4,4,7,283,9,17,0,0,34:50,14,Sun,December 12,boxscore,W,,@,Carolina Panthers,31,10,15,25,76,0,1,5,31,4.3,2.5,60.0,48.1,28,212,7.6,1,1,1,1,1,7,318,3,13,1,2,25:10
29,2010,15,ATL,Sun,December 19,boxscore,W,,@,Seattle Seahawks,34,18,20,35,168,3,1,1,6,5.0,4.7,57.1,86.4,37,98,2.6,0,2,2,4,4,4,180,9,19,2,2,35:25,15,Sun,December 19,boxscore,W,,@,Seattle Seahawks,34,18,18,33,143,0,2,2,11,4.7,4.1,54.5,40.3,21,91,4.3,2,1,1,1,1,4,165,4,12,1,2,24:35
30,2010,16,ATL,Mon,December 27,boxscore,L,,,New Orleans Saints,14,17,15,29,140,1,0,1,8,5.1,4.7,51.7,76.8,22,75,3.4,0,0,0,2,2,8,349,3,12,0,0,23:25,16,Mon,December 27,boxscore,L,,,New Orleans Saints,14,17,35,49,296,1,2,1,6,6.2,5.9,71.4,76.6,24,72,3.0,1,1,1,2,2,7,317,8,17,0,0,36:35
31,2010,17,ATL,Sun,January 2,boxscore,W,,,Carolina Panthers,31,10,26,38,253,2,0,1,3,6.7,6.5,68.4,104.4,32,99,3.1,1,1,1,4,4,4,163,4,11,0,2,35:30,17,Sun,January 2,boxscore,W,,,Carolina Panthers,31,10,19,34,154,1,1,3,28,5.4,4.2,55.9,65.1,19,137,7.2,0,1,1,1,1,7,344,3,13,0,1,24:30
528,2011,1,ATL,Sun,September 11,boxscore,L,,@,Chicago Bears,12,30,31,47,276,0,1,5,43,6.8,5.3,66.0,72.7,14,110,7.9,0,2,2,0,0,5,192,4,13,0,1,26:41,1,Sun,September 11,boxscore,L,,@,Chicago Bears,12,30,22,32,289,2,1,5,23,9.8,7.8,68.8,104.8,27,88,3.3,0,3,3,3,3,6,288,6,16,0,0,33:19
