Season,Week,Tm_abb,Day,Date,W/L,OT,H/A,Opp_abb,Tm_score,Opp_score,O_P_Cmp,O_P_Att,O_P_Yds,O_P_TD,O_Int,O_Sk,O_Yds_lost_Sk,O_P_Y/A,O_P_NY/A,O_P_Cmp_pct,O_QBR,O_R_Att,O_R_Yds,O_R_Y/A,O_R_TD,FGM,FGA,XPM,XPA,Pnt,Pnt_Yds,O_3D_Conv,O_3D_Att,O_4D_Conv,O_4D_Att,O_ToP,D_P_Cmp,D_P_Att,D_P_Yds,D_P_TD,D_Int,D_Sk,D_Yds_lost_Sk,D_P_Y/A,D_P_NY/A,D_P_Cmp_pct,D_QBR,D_R_Att,D_R_Yds,D_R_Y/A,D_R_TD,D_3D_Conv,D_3D_Att,D_4D_Conv,D_4D_Att,D_ToP
2010,1,CAR,Sun,September 12,L,N,A,NYG,18,31,14,35,148,1,3,4,34,5.2,3.8,40.0,26.8,24,89,3.7,0,3,3,1,1,4,173,8,17,0,1,25:21,20,30,258,3,3,1,5,8.8,8.3,66.7,87.2,36,118,3.3,1,5,14,1,1,34:39
2010,2,CAR,Sun,September 19,L,N,H,TAM,7,20,13,29,159,1,2,4,25,6.3,4.8,44.8,45.0,33,119,3.6,0,0,0,1,1,5,205,5,16,3,4,29:11,12,25,178,2,0,0,0,7.1,7.1,48.0,98.4,34,95,2.8,0,6,14,0,0,30:49
2010,3,CAR,Sun,September 26,L,N,H,CIN,7,20,16,33,180,0,1,1,8,5.7,5.3,48.5,52.6,24,87,3.6,1,0,0,1,1,6,267,2,11,0,2,23:38,19,37,185,1,2,1,10,5.3,4.9,51.4,52.2,37,120,3.2,1,5,17,2,2,36:22
2010,4,CAR,Sun,October 3,L,N,A,NOR,14,16,11,21,133,1,0,3,13,7.0,5.5,52.4,88.0,23,118,5.1,1,0,0,2,2,6,261,4,12,1,2,21:38,33,48,262,1,0,2,13,5.7,5.2,68.8,89.1,29,121,4.2,0,8,14,0,0,38:22
2010,5,CAR,Sun,October 10,L,N,H,CHI,6,23,14,32,62,0,3,5,34,3.0,1.7,43.8,12.0,25,85,3.4,0,2,3,0,0,9,403,3,18,1,1,29:41,8,19,29,0,4,3,22,2.7,1.3,42.1,10.1,42,218,5.2,2,3,15,0,0,30:19
2010,7,CAR,Sun,October 24,W,N,H,SFO,23,20,28,41,303,2,1,1,5,7.5,7.2,68.3,95.9,34,76,2.2,0,3,3,2,2,3,122,7,15,0,1,36:05,14,32,183,1,1,2,13,6.1,5.4,43.8,59.8,22,99,4.5,0,4,13,0,0,23:55
2010,8,CAR,Sun,October 31,L,N,A,RAM,10,20,23,37,176,1,3,3,18,5.2,4.4,62.2,48.9,17,25,1.5,0,1,1,1,1,5,222,7,14,0,0,23:32,25,32,184,2,0,2,7,6.0,5.4,78.1,111.5,29,62,2.1,0,6,15,0,0,36:28
2010,9,CAR,Sun,November 7,L,N,H,NOR,3,34,17,36,68,0,1,4,39,3.0,1.7,47.2,42.4,24,127,5.3,0,1,2,0,0,7,329,1,12,1,2,25:19,27,43,243,2,1,1,10,5.9,5.5,62.8,83.8,32,165,5.2,1,7,14,0,1,34:41
2010,10,CAR,Sun,November 14,L,N,A,TAM,16,31,16,29,182,0,0,2,9,6.6,5.9,55.2,74.2,31,118,3.8,1,3,3,1,1,5,158,6,15,0,1,28:40,18,24,235,2,0,1,6,10.0,9.4,75.0,133.2,30,186,6.2,2,5,10,0,0,31:20
2010,11,CAR,Sun,November 21,L,N,H,RAV,13,37,13,28,150,1,2,3,23,6.2,4.8,46.4,45.2,22,120,5.5,0,2,2,1,1,9,414,1,13,0,0,25:27,24,33,278,1,0,3,23,9.1,7.7,72.7,107.9,31,100,3.2,1,2,11,0,0,34:33
2010,12,CAR,Sun,November 28,L,N,A,CLE,23,24,16,28,175,0,1,3,20,7.0,5.6,57.1,60.9,27,151,5.6,1,3,5,2,2,4,189,7,15,0,0,28:16,24,36,227,0,2,2,18,6.8,6.0,66.7,60.8,32,152,4.8,3,4,11,0,1,31:44
2010,13,CAR,Sun,December 5,L,N,A,SEA,14,31,18,34,152,0,1,3,17,5.0,4.1,52.9,52.6,30,131,4.4,2,0,0,2,2,7,319,5,15,1,2,30:30,17,30,210,0,2,3,19,7.6,6.4,56.7,50.7,31,161,5.2,3,5,10,0,0,29:30
2010,14,CAR,Sun,December 12,L,N,H,ATL,10,31,15,25,76,0,1,5,31,4.3,2.5,60.0,48.1,28,212,7.6,1,1,1,1,1,7,318,3,13,1,2,25:10,20,34,200,1,1,3,27,6.7,5.4,58.8,73.2,36,127,3.5,3,9,17,0,0,34:50
2010,15,CAR,Sun,December 19,W,N,H,CRD,19,12,13,19,126,1,0,2,15,7.4,6.0,68.4,104.3,45,177,3.9,0,4,4,1,1,3,101,4,15,2,3,36:56,17,33,175,0,1,3,21,5.9,4.9,51.5,54.5,17,43,2.5,0,4,15,1,1,23:04
2010,16,CAR,Thu,December 23,L,N,A,PIT,3,27,10,23,45,0,1,4,27,3.1,1.7,43.5,32.7,22,74,3.4,0,1,1,0,0,8,272,3,13,0,1,24:36,22,32,293,1,0,3,27,10.0,8.4,68.8,107.9,33,115,3.5,2,4,12,0,1,35:24
2010,17,CAR,Sun,January 2,L,N,A,ATL,10,31,19,34,154,1,1,3,28,5.4,4.2,55.9,65.1,19,137,7.2,0,1,1,1,1,7,344,3,13,0,1,24:30,26,38,253,2,0,1,3,6.7,6.5,68.4,104.4,32,99,3.1,1,4,11,0,2,35:30
2011,1,CAR,Sun,September 11,L,N,A,CRD,21,28,24,37,403,2,1,4,19,11.4,9.8,64.9,108.3,27,74,2.7,1,0,0,3,3,7,289,3,11,0,1,32:47,18,27,295,2,0,2,14,11.4,10.2,66.7,127.9,25,99,4.0,1,5,12,0,0,27:13
2011,2,CAR,Sun,September 18,L,N,H,GNB,23,30,28,46,404,1,3,4,28,9.4,8.1,60.9,69.5,21,71,3.4,1,3,3,2,2,2,75,6,13,0,1,32:34,19,30,295,2,0,1,13,10.3,9.5,63.3,118.1,21,124,5.9,1,5,12,0,1,27:26
2011,3,CAR,Sun,September 25,W,N,H,JAX,16,10,18,34,158,1,0,0,0,4.6,4.6,52.9,75.4,28,107,3.8,0,2,2,0,0,8,307,6,16,0,0,29:34,12,21,129,1,1,2,10,6.6,5.6,57.1,71.3,34,128,3.8,0,3,14,1,2,30:26
2011,4,CAR,Sun,October 2,L,N,A,CHI,29,34,27,46,374,1,1,0,0,8.1,8.1,58.7,83.1,26,169,6.5,2,3,5,2,2,2,79,2,12,1,2,33:29,9,17,93,0,1,1,9,6.0,5.2,52.9,44.5,31,224,7.2,2,3,10,1,1,26:31
2011,5,CAR,Sun,October 9,L,N,H,NOR,27,30,16,31,219,2,1,1,5,7.2,6.8,51.6,82.6,22,162,7.4,2,0,0,3,4,3,132,7,12,0,0,25:20,32,45,343,2,1,2,16,8.0,7.3,71.1,98.7,28,101,3.6,1,12,17,0,0,34:40
2011,6,CAR,Sun,October 16,L,N,A,ATL,17,31,21,35,229,0,3,1,8,6.8,6.4,60.0,43.6,26,139,5.3,2,1,1,2,2,2,81,8,12,1,1,29:26,14,22,159,1,0,1,4,7.4,6.9,63.6,100.4,35,166,4.7,3,7,11,0,0,30:34
