Season,Week,Tm_abb,Day,Date,W/L,OT,H/A,Opp_abb,Tm_score,Opp_score,O_P_Cmp,O_P_Att,O_P_Yds,O_P_TD,O_Int,O_Sk,O_Yds_lost_Sk,O_P_Y/A,O_P_NY/A,O_P_Cmp_pct,O_QBR,O_R_Att,O_R_Yds,O_R_Y/A,O_R_TD,FGM,FGA,XPM,XPA,Pnt,Pnt_Yds,O_3D_Conv,O_3D_Att,O_4D_Conv,O_4D_Att,O_ToP,D_P_Cmp,D_P_Att,D_P_Yds,D_P_TD,D_Int,D_Sk,D_Yds_lost_Sk,D_P_Y/A,D_P_NY/A,D_P_Cmp_pct,D_QBR,D_R_Att,D_R_Yds,D_R_Y/A,D_R_TD,D_3D_Conv,D_3D_Att,D_4D_Conv,D_4D_Att,D_ToP
2010,1,CHI,Sun,September 12,W,N,H,DET,19,14,23,35,362,2,1,4,10,10.6,9.3,65.7,107.1,31,101,3.3,0,2,2,1,1,5,151,6,14,0,1,34:42,20,34,148,0,1,2,23,5.0,4.1,58.8,57.0,21,20,1.0,2,4,14,0,1,25:18
2010,2,CHI,Sun,September 19,W,N,A,DAL,27,20,21,29,270,3,0,1,7,9.6,9.0,72.4,135.7,19,38,2.0,0,2,2,3,3,6,236,1,11,1,1,26:20,34,51,374,1,2,0,0,7.3,7.3,66.7,78.4,20,36,1.8,0,6,13,0,0,33:40
2010,3,CHI,Mon,September 27,W,N,H,GNB,20,17,16,27,199,1,1,3,22,8.2,6.6,59.3,79.1,18,77,4.3,0,2,3,2,2,2,97,3,9,0,1,24:11,34,45,316,1,1,0,0,7.0,7.0,75.6,92.5,15,63,4.2,1,4,10,0,0,35:49
2010,4,CHI,Sun,October 3,L,N,A,NYG,3,17,15,26,51,0,2,10,63,4.4,1.4,57.7,30.6,16,59,3.7,0,1,1,0,0,9,375,0,13,0,1,26:35,18,30,183,0,0,2,12,6.5,5.7,60.0,77.5,32,189,5.9,2,3,12,0,0,33:25
2010,5,CHI,Sun,October 10,W,N,A,CAR,23,6,8,19,29,0,4,3,22,2.7,1.3,42.1,10.1,42,218,5.2,2,3,3,2,2,6,234,3,15,0,0,30:19,14,32,62,0,3,5,34,3.0,1.7,43.8,12.0,25,85,3.4,0,3,18,1,1,29:41
2010,6,CHI,Sun,October 17,L,N,H,SEA,20,23,17,39,246,0,0,6,44,7.4,5.5,43.6,64.7,14,61,4.4,1,2,3,2,2,8,305,0,12,1,1,25:37,25,40,242,1,0,0,0,6.1,6.1,62.5,87.7,31,111,3.6,2,7,18,0,0,34:23
2010,7,CHI,Sun,October 24,L,N,H,WAS,14,17,26,40,256,1,4,4,25,7.0,5.8,65.0,51.7,16,66,4.1,0,0,0,2,2,7,254,2,10,0,0,30:48,17,32,187,1,2,2,13,6.3,5.5,53.1,55.1,28,121,4.3,0,2,13,0,0,29:12
2010,9,CHI,Sun,November 7,W,N,A,BUF,22,19,17,30,178,2,0,1,10,6.3,5.7,56.7,96.2,31,105,3.4,1,0,1,2,2,4,166,7,12,0,0,31:13,31,51,294,1,2,1,5,5.9,5.7,60.8,67.0,18,46,2.6,2,10,16,1,2,28:47
2010,10,CHI,Sun,November 14,W,N,H,MIN,27,13,22,35,230,3,2,2,7,6.8,6.2,62.9,86.6,37,130,3.5,0,2,3,3,3,4,154,11,19,0,0,34:39,18,31,170,1,3,1,0,5.5,5.3,58.1,44.5,22,70,3.2,0,1,9,0,0,25:21
2010,11,CHI,Thu,November 18,W,N,A,MIA,16,0,16,25,133,0,1,3,23,6.2,4.8,64.0,60.9,40,135,3.4,1,3,3,1,1,4,175,10,18,0,0,37:51,17,29,148,0,1,6,39,6.4,4.2,58.6,57.8,13,39,3.0,0,1,11,1,2,22:09
2010,12,CHI,Sun,November 28,W,N,H,PHI,31,26,14,21,218,4,0,4,29,11.8,8.7,66.7,140.5,28,131,4.7,0,1,1,4,4,5,218,3,10,0,0,28:02,29,44,293,2,1,4,40,7.6,6.1,65.9,90.4,22,105,4.8,0,4,13,2,2,31:58
2010,13,CHI,Sun,December 5,W,N,A,DET,24,20,21,26,197,1,0,4,37,9.0,6.6,80.8,111.1,28,114,4.1,2,1,1,3,3,3,135,5,9,0,0,33:19,16,24,168,1,0,2,10,7.4,6.5,66.7,100.7,27,134,5.0,1,6,14,1,2,26:41
2010,14,CHI,Sun,December 12,L,N,H,NWE,7,36,12,26,138,0,2,2,14,5.8,4.9,46.2,30.6,14,47,3.4,1,0,0,1,1,5,161,3,8,0,0,20:19,27,40,351,2,0,3,18,9.2,8.2,67.5,111.6,35,124,3.5,1,12,19,0,1,39:41
2010,15,CHI,Mon,December 20,W,N,A,MIN,40,14,14,24,189,3,1,1,5,8.1,7.6,58.3,105.7,33,104,3.2,0,4,4,4,4,3,125,2,10,0,1,31:30,20,33,159,1,3,4,33,5.8,4.3,60.6,44.9,24,114,4.8,1,3,11,0,1,28:30
2010,16,CHI,Sun,December 26,W,N,H,NYJ,38,34,13,25,202,3,1,2,13,8.6,7.5,52.0,102.0,27,120,4.4,2,1,2,5,5,4,176,3,9,0,0,26:09,24,38,269,1,1,0,0,7.1,7.1,63.2,82.0,30,124,4.1,2,7,14,0,1,33:51
2010,17,CHI,Sun,January 2,L,N,A,GNB,3,10,21,39,117,0,2,6,51,4.3,2.6,53.8,38.1,20,110,5.5,0,1,1,0,0,8,364,5,16,0,1,30:40,19,28,224,1,1,2,5,8.2,7.5,67.9,89.0,23,60,2.6,0,2,11,0,0,29:20
2011,1,CHI,Sun,September 11,W,N,H,ATL,30,12,22,32,289,2,1,5,23,9.8,7.8,68.8,104.8,27,88,3.3,0,3,3,3,3,6,288,6,16,0,0,33:19,31,47,276,0,1,5,44,6.8,5.3,66.0,72.7,14,110,7.9,0,4,13,0,1,26:41
2011,2,CHI,Sun,September 18,L,N,A,NOR,13,30,19,45,186,1,0,6,58,5.4,3.6,42.2,61.9,12,60,5.0,0,2,2,1,1,8,350,2,12,0,1,23:46,26,37,264,3,0,1,6,7.3,6.9,70.3,117.4,29,118,4.1,0,8,17,1,1,36:14
2011,3,CHI,Sun,September 25,L,N,H,GNB,17,27,21,37,278,2,2,3,24,8.2,7.0,56.8,76.2,12,13,1.1,0,1,1,2,2,7,298,3,12,0,1,22:31,28,38,292,3,1,2,5,7.8,7.3,73.7,110.9,29,100,3.4,0,5,13,0,0,37:29
2011,4,CHI,Sun,October 2,W,N,H,CAR,34,29,9,17,93,0,1,1,9,6.0,5.2,52.9,44.5,31,224,7.2,2,2,2,4,4,4,157,3,10,1,1,26:31,27,46,374,1,1,0,0,8.1,8.1,58.7,83.1,26,169,6.5,2,2,12,1,2,33:29
2011,5,CHI,Mon,October 10,L,N,A,DET,13,24,28,38,237,1,0,3,12,6.6,5.8,73.7,98.2,25,122,4.9,0,2,2,1,1,5,221,4,13,0,1,39:03,19,26,214,2,1,1,5,8.4,7.9,73.1,106.9,20,181,9.1,1,5,11,0,0,20:57
2011,6,CHI,Sun,October 16,W,N,H,MIN,39,10,21,31,258,2,0,1,9,8.6,8.1,67.7,114.7,28,119,4.3,1,3,3,4,4,3,115,4,11,0,0,30:40,28,42,233,0,0,5,43,6.6,5.0,66.7,80.8,17,53,3.1,1,6,15,0,2,29:20
2011,7,CHI,Sun,October 23,W,N,A,TAM,24,18,17,32,218,1,2,2,8,7.1,6.4,53.1,59.1,33,177,5.4,2,1,2,3,3,6,228,4,13,0,0,33:12,29,52,250,2,4,1,14,5.1,4.7,55.8,49.4,11,30,2.7,0,4,14,0,0,26:48
2011,9,CHI,Mon,November 7,W,N,A,PHI,30,24,18,32,208,2,0,0,0,6.5,6.5,56.3,96.9,34,164,4.8,1,3,3,3,3,3,103,7,14,0,0,33:27,21,39,211,0,1,1,2,5.5,5.3,53.8,58.8,23,119,5.2,2,8,14,1,3,26:33
2011,10,CHI,Sun,November 13,W,N,H,DET,37,13,9,20,107,0,0,2,16,6.2,4.9,45.0,61.9,35,109,3.1,1,3,4,4,4,6,280,3,13,1,1,29:06,33,63,313,1,4,2,16,5.2,4.8,52.4,45.3,19,80,4.2,0,4,17,1,2,30:54
2011,11,CHI,Sun,November 20,W,N,H,SDG,31,20,18,32,286,2,1,0,0,8.9,8.9,56.3,94.0,32,92,2.9,2,1,1,4,4,3,137,8,14,0,1,33:10,21,31,280,2,2,0,0,9.0,9.0,67.7,90.8,17,52,3.1,0,5,11,0,0,26:50
2011,12,CHI,Sun,November 27,L,N,A,RAI,20,25,18,36,229,2,3,4,25,7.1,5.7,50.0,54.1,27,172,6.4,0,2,2,2,2,5,225,6,14,0,0,29:58,21,37,268,0,1,4,33,8.1,6.5,56.8,68.3,27,73,2.7,1,3,15,1,1,30:02
