Season,Week,Tm_abb,Day,Date,W/L,OT,H/A,Opp_abb,Tm_score,Opp_score,O_P_Cmp,O_P_Att,O_P_Yds,O_P_TD,O_Int,O_Sk,O_Yds_lost_Sk,O_P_Y/A,O_P_NY/A,O_P_Cmp_pct,O_QBR,O_R_Att,O_R_Yds,O_R_Y/A,O_R_TD,FGM,FGA,XPM,XPA,Pnt,Pnt_Yds,O_3D_Conv,O_3D_Att,O_4D_Conv,O_4D_Att,O_ToP,D_P_Cmp,D_P_Att,D_P_Yds,D_P_TD,D_Int,D_Sk,D_Yds_lost_Sk,D_P_Y/A,D_P_NY/A,D_P_Cmp_pct,D_QBR,D_R_Att,D_R_Yds,D_R_Y/A,D_R_TD,D_3D_Conv,D_3D_Att,D_4D_Conv,D_4D_Att,D_ToP
2010,1,CIN,Sun,September 12,L,N,A,NWE,24,38,34,50,341,2,1,1,4,6.9,6.7,68.0,92.2,25,87,3.5,1,1,1,3,3,3,139,8,15,3,3,31:50,25,35,258,3,0,0,0,7.4,7.4,71.4,120.9,23,118,5.1,0,9,13,0,1,28:10
2010,2,CIN,Sun,September 19,W,N,H,RAV,15,10,16,35,159,0,0,1,8,4.8,4.4,45.7,59.1,31,94,3.0,0,5,5,0,0,8,353,3,18,0,0,34:16,17,39,150,1,4,1,4,3.9,3.8,43.6,23.4,23,109,4.7,0,4,15,0,1,25:44
2010,3,CIN,Sun,September 26,W,N,A,CAR,20,7,19,37,185,1,2,1,10,5.3,4.9,51.4,52.2,37,120,3.2,1,2,2,2,2,6,249,5,17,2,2,36:22,16,33,180,0,1,1,8,5.7,5.3,48.5,52.6,24,87,3.6,1,2,11,0,2,23:38
2010,4,CIN,Sun,October 3,L,N,A,CLE,20,23,25,36,346,2,0,4,25,10.3,8.7,69.4,118.5,18,67,3.7,0,2,3,2,2,3,116,5,11,0,0,29:14,18,30,179,1,1,1,5,6.1,5.8,60.0,74.2,35,116,3.3,1,6,14,0,0,30:46
2010,5,CIN,Sun,October 10,L,N,H,TAM,21,24,21,36,209,2,3,0,0,5.8,5.8,58.3,58.7,28,149,5.3,0,2,2,1,1,6,308,4,13,0,0,29:35,22,35,266,1,1,3,18,8.1,7.0,62.9,83.7,22,125,5.7,1,5,11,0,0,30:25
2010,7,CIN,Sun,October 24,L,N,A,ATL,32,39,36,50,385,3,0,3,27,8.2,7.3,72.0,114.2,21,84,4.0,0,2,3,2,2,3,125,7,12,0,0,30:22,24,33,299,3,1,0,0,9.1,9.1,72.7,118.1,30,153,5.1,2,7,13,1,1,29:38
2010,8,CIN,Sun,October 31,L,N,H,MIA,14,22,17,38,156,2,1,0,0,4.1,4.1,44.7,63.0,26,106,4.1,0,0,0,2,2,9,359,6,16,1,1,26:31,24,37,217,0,1,0,0,5.9,5.9,64.9,69.3,31,137,4.4,1,5,15,0,0,33:29
2010,9,CIN,Mon,November 8,L,N,H,PIT,21,27,22,36,218,2,1,4,30,6.9,5.5,61.1,85.2,18,54,3.0,1,0,2,3,3,5,166,3,12,0,1,27:41,18,28,193,2,1,1,9,7.2,6.7,64.3,93.3,32,121,3.8,1,6,14,0,0,32:19
2010,10,CIN,Sun,November 14,L,N,A,CLT,17,23,31,42,269,2,3,3,23,7.0,6.0,73.8,76.4,20,72,3.6,0,1,1,2,2,4,161,5,13,1,1,34:11,20,36,180,0,0,2,5,5.1,4.7,55.6,69.2,22,76,3.5,1,5,14,0,0,25:49
2010,11,CIN,Sun,November 21,L,N,H,BUF,31,49,22,37,228,2,2,2,20,6.7,5.8,59.5,72.8,30,133,4.4,1,1,2,4,4,2,71,9,16,2,2,32:09,21,34,308,4,2,1,8,9.3,8.8,61.8,106.0,25,141,5.6,2,5,10,1,1,27:51
2010,12,CIN,Thu,November 25,L,N,A,NYJ,10,26,17,39,117,1,2,3,18,3.5,2.8,43.6,38.1,20,46,2.3,0,1,2,1,1,7,290,4,15,0,0,26:31,16,28,149,1,1,2,17,5.9,5.0,57.1,68.9,37,170,4.6,1,3,13,0,0,33:29
2010,13,CIN,Sun,December 5,L,N,H,NOR,30,34,23,33,215,1,0,3,34,7.5,6.0,69.7,97.4,26,96,3.7,2,3,3,1,2,2,113,5,14,2,3,32:33,24,29,290,2,1,2,23,10.8,9.4,82.8,117.0,22,146,6.6,2,1,8,0,0,27:27
2010,14,CIN,Sun,December 12,L,N,A,PIT,7,23,20,32,156,1,3,3,22,5.6,4.5,62.5,45.8,14,34,2.4,0,0,0,1,1,5,217,2,8,1,1,25:29,21,33,231,0,0,4,27,7.8,6.2,63.6,84.3,27,123,4.6,0,7,15,0,0,34:31
2010,15,CIN,Sun,December 19,W,N,H,CLE,19,17,14,23,209,0,0,0,0,9.1,9.1,60.9,90.7,45,188,4.2,1,4,4,1,1,1,34,6,13,0,1,38:03,19,25,219,2,0,4,24,9.7,7.6,76.0,128.6,14,59,4.2,0,2,8,0,0,21:57
2010,16,CIN,Sun,December 26,W,N,H,SDG,34,20,16,21,269,4,0,0,0,12.8,12.8,76.2,157.2,38,102,2.7,1,0,0,4,5,4,129,8,14,1,2,30:09,27,40,249,1,1,1,7,6.4,6.1,67.5,82.2,22,64,2.9,1,6,13,0,1,29:51
2010,17,CIN,Sun,January 2,L,N,A,RAV,7,13,32,45,305,1,2,0,0,6.8,6.8,71.1,78.5,31,90,2.9,0,0,1,1,1,4,162,7,17,0,2,34:42,14,19,101,0,1,4,24,6.6,4.4,73.7,63.7,27,98,3.6,1,2,11,0,0,25:18
2011,1,CIN,Sun,September 11,W,N,A,CLE,27,17,15,27,155,2,0,4,18,6.4,5.0,55.6,97.0,33,139,4.2,1,2,2,3,3,8,382,7,17,0,0,30:23,19,40,202,2,1,2,11,5.3,4.8,47.5,69.0,26,83,3.2,0,4,15,1,2,29:37
2011,2,CIN,Sun,September 18,L,N,A,DEN,22,24,27,41,310,2,0,2,22,8.1,7.2,65.9,104.7,20,72,3.6,0,3,3,1,1,5,205,1,11,0,2,29:45,15,25,187,2,0,2,8,7.8,6.9,60.0,109.9,36,131,3.6,1,5,12,0,0,30:15
2011,3,CIN,Sun,September 25,L,N,H,SFO,8,13,17,32,149,0,2,1,8,4.9,4.5,53.1,39.7,20,79,4.0,0,2,2,0,0,7,317,1,10,0,0,24:40,20,30,176,0,0,5,25,6.7,5.0,66.7,82.1,29,50,1.7,1,5,15,0,1,35:20
2011,4,CIN,Sun,October 2,W,N,H,BUF,23,20,18,36,287,1,2,2,11,8.3,7.6,50.0,63.1,32,171,5.3,1,3,3,2,2,5,192,5,12,0,0,31:21,20,34,190,0,0,1,9,5.9,5.4,58.8,74.4,21,83,4.0,1,4,14,0,0,28:39
2011,5,CIN,Sun,October 9,W,N,A,JAX,30,20,21,33,162,2,1,2,17,5.4,4.6,63.6,83.1,31,77,2.5,1,1,1,3,4,7,334,8,19,2,3,32:33,15,28,200,1,0,3,21,7.9,6.5,53.6,88.4,27,96,3.6,1,6,16,0,0,27:27
2011,6,CIN,Sun,October 16,W,N,H,CLT,27,17,25,32,264,1,0,0,0,8.3,8.3,78.1,111.5,31,94,3.0,1,2,3,3,3,5,221,6,14,0,0,33:36,23,34,179,1,1,1,9,5.5,5.1,67.6,77.9,23,94,4.1,1,6,12,0,0,26:24
2011,8,CIN,Sun,October 30,W,N,A,SEA,34,12,18,29,160,2,2,1,8,5.8,5.3,62.1,71.0,27,92,3.4,0,2,2,4,4,5,226,6,14,0,0,31:27,25,47,350,0,1,4,25,8.0,6.9,53.2,68.6,20,61,3.1,1,5,15,1,2,28:33
2011,9,CIN,Sun,November 6,W,N,A,OTI,24,17,22,39,210,3,0,1,7,5.6,5.3,56.4,97.2,30,109,3.6,0,1,1,3,3,7,308,8,16,0,0,32:55,24,41,250,2,0,2,22,6.6,5.8,58.5,92.5,20,78,3.9,0,5,14,1,1,27:05
2011,10,CIN,Sun,November 13,L,N,H,PIT,17,24,15,30,170,2,2,0,0,5.7,5.7,50.0,61.8,26,109,4.2,0,1,1,2,2,6,276,4,11,0,0,26:07,21,33,223,1,1,5,22,7.4,5.9,63.6,80.7,30,105,3.5,2,5,12,0,0,33:53
2011,11,CIN,Sun,November 20,L,N,A,RAV,24,31,24,46,364,1,3,2,9,8.1,7.6,52.2,58.6,30,119,4.0,2,1,1,3,3,7,270,5,15,0,1,32:53,17,27,268,2,1,1,2,10.0,9.6,63.0,105.2,28,105,3.8,2,5,14,0,0,27:07
2011,12,CIN,Sun,November 27,W,N,H,CLE,23,20,21,31,257,1,0,2,13,8.7,7.8,67.7,103.8,32,132,4.1,1,3,3,2,2,4,191,6,14,0,1,31:34,16,34,140,2,1,2,11,4.4,3.9,47.1,65.8,30,134,4.5,0,6,15,0,1,28:26
2011,13,CIN,Sun,December 4,L,N,A,PIT,7,35,14,30,128,1,1,3,24,5.1,3.9,46.7,56.0,22,104,4.7,0,0,1,1,1,7,317,2,11,1,1,27:16,15,23,159,2,0,3,17,7.7,6.1,65.2,114.2,33,136,4.1,2,2,10,0,0,32:44
2011,14,CIN,Sun,December 11,L,N,H,HTX,19,20,16,28,184,1,0,1,5,6.8,6.3,57.1,89.0,29,101,3.5,0,4,4,1,1,4,186,5,13,1,1,28:16,26,44,268,2,1,5,32,6.8,5.5,59.1,82.4,28,144,5.1,0,9,16,0,1,31:44
2011,15,CIN,Sun,December 18,W,N,A,RAM,20,13,15,26,173,0,1,1,6,6.9,6.4,57.7,61.9,34,110,3.2,2,2,2,2,2,5,169,3,11,0,1,30:03,25,36,210,1,0,3,19,6.4,5.4,69.4,93.5,24,95,4.0,0,2,13,0,1,29:57
2011,16,CIN,Sat,December 24,W,N,H,CRD,23,16,18,31,136,2,0,2,18,5.0,4.1,58.1,90.3,34,165,4.9,0,3,5,2,2,5,215,5,14,0,0,31:39,23,44,257,2,3,5,40,6.8,5.2,52.3,56.7,18,59,3.3,0,4,14,1,2,28:21
2011,17,CIN,Sun,January 1,L,N,H,RAV,16,24,22,44,231,0,0,1,1,5.3,5.1,50.0,65.6,24,105,4.4,1,3,4,1,1,4,214,8,17,0,0,30:34,15,19,126,1,0,1,4,6.8,6.3,78.9,111.8,32,221,6.9,2,5,13,0,0,29:26
2012,1,CIN,Mon,September 10,L,N,A,RAV,13,44,22,37,193,0,1,4,28,6.0,4.7,59.5,62.1,28,129,4.6,1,2,2,1,1,4,183,4,15,2,3,32:26,23,32,308,2,0,3,21,10.3,8.8,71.9,122.9,23,122,5.3,2,3,9,1,1,27:34
2012,2,CIN,Sun,September 16,W,N,H,CLE,34,27,24,31,295,3,1,6,23,10.3,8.0,77.4,125.1,25,80,3.2,0,2,2,4,4,3,126,4,12,1,1,32:53,26,37,309,2,0,2,13,8.7,7.9,70.3,113.5,23,130,5.7,1,7,15,0,0,27:07
2012,3,CIN,Sun,September 23,W,N,A,WAS,38,31,20,28,385,4,1,2,16,14.3,12.8,71.4,138.4,28,93,3.3,1,1,1,5,5,4,165,3,9,0,1,27:30,21,34,179,1,0,5,42,6.5,4.6,61.8,85.3,35,202,5.8,2,3,12,0,0,32:30
2012,4,CIN,Sun,September 30,W,N,A,JAX,27,10,20,31,244,2,1,0,0,7.9,7.9,64.5,96.7,34,138,4.1,1,2,2,3,3,3,143,2,11,1,1,31:19,23,34,143,1,1,6,43,5.5,3.6,67.6,73.5,18,69,3.8,0,2,11,0,1,28:41
2012,5,CIN,Sun,October 7,L,N,H,MIA,13,17,26,43,218,1,2,3,16,5.4,4.7,60.5,62.0,19,80,4.2,0,2,3,1,1,6,243,2,14,1,1,31:11,17,26,211,0,0,2,12,8.6,7.5,65.4,90.4,35,68,1.9,2,4,13,0,1,28:49
2012,6,CIN,Sun,October 14,L,N,A,CLE,24,34,31,46,362,3,3,2,19,8.3,7.5,67.4,85.6,20,76,3.8,0,1,1,3,3,7,354,5,14,0,0,30:03,17,29,218,2,1,2,13,8.0,7.0,58.6,90.9,34,110,3.2,1,7,17,0,0,29:57
2012,7,CIN,Sun,October 21,L,N,H,PIT,17,24,14,28,105,1,1,0,0,3.8,3.8,50.0,56.4,21,80,3.8,1,1,1,2,2,6,311,5,13,1,1,22:30,27,38,264,1,1,3,14,7.3,6.4,71.1,88.0,29,167,5.8,1,10,16,0,0,37:30
2012,9,CIN,Sun,November 4,L,N,H,DEN,23,31,26,42,275,1,1,5,24,7.1,5.9,61.9,79.0,25,91,3.6,1,3,4,2,2,4,206,5,14,1,1,29:23,27,35,291,3,2,0,0,8.3,8.3,77.1,105.8,26,68,2.6,0,9,14,0,0,30:37
2012,10,CIN,Sun,November 11,W,N,H,NYG,31,13,21,30,199,4,0,0,0,6.6,6.6,70.0,127.6,28,76,2.7,0,1,1,4,4,4,193,6,13,1,2,30:15,29,46,189,0,2,4,26,4.7,3.8,63.0,53.6,20,129,6.5,1,5,14,1,2,29:45
2012,11,CIN,Sun,November 18,W,N,A,KAN,28,6,18,29,220,2,0,2,10,7.9,7.1,62.1,108.4,38,189,5.0,2,0,1,4,4,6,322,4,14,3,3,35:22,17,30,171,0,0,4,17,6.3,5.0,56.7,73.1,26,113,4.3,0,1,11,0,1,24:38
2012,12,CIN,Sun,November 25,W,N,H,RAI,34,10,16,30,194,3,0,2,16,7.0,6.1,53.3,106.8,34,221,6.5,1,2,3,4,4,5,204,9,17,0,0,30:46,19,34,119,1,1,4,27,4.3,3.1,55.9,60.8,23,99,4.3,0,3,12,0,2,29:14
2012,13,CIN,Sun,December 2,W,N,A,SDG,20,13,25,38,211,1,2,1,0,5.6,5.4,65.8,66.9,32,128,4.0,1,2,2,2,2,3,114,7,14,0,0,33:18,26,48,251,0,1,4,29,5.8,4.8,54.2,60.3,11,46,4.2,0,4,12,0,1,26:42
2012,14,CIN,Sun,December 9,L,N,H,DAL,19,20,20,33,190,1,1,5,16,6.2,5.0,60.6,74.1,20,146,7.3,0,4,4,1,1,3,136,4,11,0,0,29:49,25,43,239,1,1,3,29,6.2,5.2,58.1,71.8,24,49,2.0,1,11,19,0,0,30:11
2012,15,CIN,Thu,December 13,W,N,A,PHI,34,13,13,27,92,1,0,6,35,4.7,2.8,48.1,68.7,41,157,3.8,2,2,2,4,4,5,194,7,18,0,1,37:40,16,33,177,1,1,1,3,5.5,5.2,48.5,62.3,19,42,2.2,0,3,12,0,0,22:20
2012,16,CIN,Sun,December 23,W,N,A,PIT,13,10,24,41,253,0,2,6,25,6.8,5.4,58.5,56.3,16,14,0.9,0,2,3,1,1,6,316,4,15,0,1,28:15,14,28,185,1,2,4,35,7.9,5.8,50.0,53.4,31,95,3.1,0,2,14,1,1,31:45
2012,17,CIN,Sun,December 30,W,N,H,RAV,23,17,15,26,142,1,0,2,1,5.5,5.1,57.7,85.7,21,47,2.2,0,3,3,2,2,7,330,3,13,0,0,24:21,19,33,146,0,1,4,37,5.5,3.9,57.6,55.9,46,206,4.5,2,5,18,2,2,35:39
2013,1,CIN,Sun,September 8,L,N,A,CHI,21,24,26,33,277,2,2,1,5,8.5,8.1,78.8,96.6,21,63,3.0,1,0,0,3,3,4,193,7,11,0,0,28:30,21,33,242,2,1,0,0,7.3,7.3,63.6,93.2,28,81,2.9,1,6,14,1,1,31:30
2013,2,CIN,Mon,September 16,W,N,H,PIT,20,10,25,45,280,1,0,0,0,6.2,6.2,55.6,81.7,34,127,3.7,1,2,2,2,2,7,326,7,17,0,1,35:34,20,37,234,1,1,2,17,6.8,6.0,54.1,71.2,16,44,2.8,0,3,12,0,0,24:26
