Season,Week,Tm_abb,Day,Date,W/L,OT,H/A,Opp_abb,Tm_score,Opp_score,O_P_Cmp,O_P_Att,O_P_Yds,O_P_TD,O_Int,O_Sk,O_Yds_lost_Sk,O_P_Y/A,O_P_NY/A,O_P_Cmp_pct,O_QBR,O_R_Att,O_R_Yds,O_R_Y/A,O_R_TD,FGM,FGA,XPM,XPA,Pnt,Pnt_Yds,O_3D_Conv,O_3D_Att,O_4D_Conv,O_4D_Att,O_ToP,D_P_Cmp,D_P_Att,D_P_Yds,D_P_TD,D_Int,D_Sk,D_Yds_lost_Sk,D_P_Y/A,D_P_NY/A,D_P_Cmp_pct,D_QBR,D_R_Att,D_R_Yds,D_R_Y/A,D_R_TD,D_3D_Conv,D_3D_Att,D_4D_Conv,D_4D_Att,D_ToP
2010,1,DET,Sun,September 12,L,N,A,CHI,14,19,20,34,148,0,1,2,23,5.0,4.1,58.8,57.0,21,20,1.0,2,0,0,2,2,8,337,4,14,0,1,25:18,23,35,362,2,1,4,10,10.6,9.3,65.7,107.1,31,101,3.3,0,6,14,0,1,34:42
2010,2,DET,Sun,September 19,L,N,H,PHI,32,35,25,45,329,2,2,2,6,7.4,7.0,55.6,75.1,26,115,4.4,2,1,1,3,3,4,210,6,15,0,2,29:08,21,34,248,2,0,5,36,8.4,6.4,61.8,103.6,29,162,5.6,3,6,14,0,0,30:52
2010,3,DET,Sun,September 26,L,N,A,MIN,10,24,29,43,232,1,2,1,5,5.5,5.3,67.4,69.1,19,63,3.3,0,1,2,1,1,7,300,3,12,1,1,28:08,23,34,185,1,2,2,16,5.9,5.1,67.6,66.4,30,183,6.1,2,3,11,0,0,31:52
2010,4,DET,Sun,October 3,L,N,A,GNB,26,28,34,54,308,2,2,3,23,6.1,5.4,63.0,75.2,21,123,5.9,0,4,5,2,2,2,67,10,17,0,0,37:37,12,17,169,3,2,2,12,10.6,8.9,70.6,102.3,21,92,4.4,0,3,7,0,0,22:23
2010,5,DET,Sun,October 10,W,N,H,RAM,44,6,22,34,233,3,0,1,5,7.0,6.7,64.7,114.0,26,89,3.4,0,3,3,5,5,3,134,6,13,0,0,26:44,23,45,213,0,2,1,2,4.8,4.6,51.1,45.9,28,128,4.6,0,6,14,0,2,33:16
2010,6,DET,Sun,October 17,L,N,A,NYG,20,28,28,49,302,2,1,2,11,6.4,5.9,57.1,80.5,21,64,3.0,0,2,2,2,2,5,235,9,20,2,2,27:18,20,30,167,2,0,2,10,5.9,5.2,66.7,103.1,30,167,5.6,2,5,13,0,1,32:42
2010,8,DET,Sun,October 31,W,N,H,WAS,37,25,26,45,202,4,1,1,10,4.7,4.4,57.8,89.3,25,102,4.1,0,1,1,2,2,9,418,4,17,1,1,32:10,21,37,195,1,1,7,59,6.9,4.4,56.8,69.1,19,80,4.2,1,2,14,1,2,27:50
2010,9,DET,Sun,November 7,L,Y,H,NYJ,20,23,20,37,228,2,0,2,12,6.5,5.8,54.1,90.8,28,78,2.8,1,0,0,2,3,9,424,5,15,0,0,32:46,22,39,327,1,1,1,9,8.6,8.2,56.4,81.9,30,110,3.7,1,5,13,0,0,29:32
2010,10,DET,Sun,November 14,L,N,A,BUF,12,14,29,50,314,1,1,1,9,6.5,6.2,58.0,74.9,26,76,2.9,0,2,3,0,0,8,333,5,19,3,3,32:24,12,24,139,1,0,1,7,6.1,5.6,50.0,81.8,33,149,4.5,1,5,15,0,1,27:36
2010,11,DET,Sun,November 21,L,N,A,DAL,19,35,32,47,263,2,1,3,26,6.1,5.3,68.1,87.5,20,75,3.8,0,1,1,2,2,6,278,10,18,0,0,29:56,18,24,131,3,0,2,16,6.1,5.0,75.0,126.9,30,134,4.5,1,6,11,1,1,30:04
