Season,Week,Tm_abb,Day,Date,W/L,OT,H/A,Opp_abb,Tm_score,Opp_score,O_P_Cmp,O_P_Att,O_P_Yds,O_P_TD,O_Int,O_Sk,O_Yds_lost_Sk,O_P_Y/A,O_P_NY/A,O_P_Cmp_pct,O_QBR,O_R_Att,O_R_Yds,O_R_Y/A,O_R_TD,FGM,FGA,XPM,XPA,Pnt,Pnt_Yds,O_3D_Conv,O_3D_Att,O_4D_Conv,O_4D_Att,O_ToP,D_P_Cmp,D_P_Att,D_P_Yds,D_P_TD,D_Int,D_Sk,D_Yds_lost_Sk,D_P_Y/A,D_P_NY/A,D_P_Cmp_pct,D_QBR,D_R_Att,D_R_Yds,D_R_Y/A,D_R_TD,D_3D_Conv,D_3D_Att,D_4D_Conv,D_4D_Att,D_ToP
2010,1,GNB,Sun,September 12,W,N,A,PHI,27,20,19,31,167,2,2,3,21,6.1,4.9,61.3,70.2,33,132,4.0,1,2,2,3,3,4,166,6,14,0,0,31:55,21,34,171,1,0,6,28,5.9,4.3,61.8,84.3,20,149,7.5,1,5,13,0,1,28:05
2010,2,GNB,Sun,September 19,W,N,H,BUF,34,7,19,29,255,2,0,0,0,8.8,8.8,65.5,116.3,27,91,3.4,2,2,2,4,4,3,121,7,12,0,0,30:56,11,18,62,0,2,4,40,5.7,2.8,61.1,27.8,32,124,3.9,1,4,12,0,2,29:04
2010,3,GNB,Mon,September 27,L,N,A,CHI,17,20,34,45,316,1,1,0,0,7.0,7.0,75.6,92.5,15,63,4.2,1,1,2,2,2,3,150,4,10,0,0,35:49,16,27,199,1,1,3,22,8.2,6.6,59.3,79.1,18,77,4.3,0,3,9,0,1,24:11
2010,4,GNB,Sun,October 3,W,N,H,DET,28,26,12,17,169,3,2,2,12,10.6,8.9,70.6,102.3,21,92,4.4,0,0,0,4,4,3,123,3,7,0,0,22:23,34,54,308,2,2,3,23,6.1,5.4,63.0,75.2,21,123,5.9,0,10,17,0,0,37:37
2010,5,GNB,Sun,October 10,L,Y,A,WAS,13,16,27,46,270,1,1,4,23,6.4,5.4,58.7,73.6,17,157,9.2,0,2,4,1,1,6,284,2,13,0,1,32:40,26,49,322,1,1,5,35,7.3,6.0,53.1,72.0,21,51,2.4,0,5,17,0,1,34:14
2010,6,GNB,Sun,October 17,L,Y,H,MIA,20,23,18,33,283,1,1,5,30,9.5,7.4,54.5,80.7,21,76,3.6,1,2,2,2,2,5,190,3,13,2,2,28:03,23,39,231,2,1,0,0,5.9,5.9,59.0,82.3,39,150,3.8,0,6,14,0,1,37:56
2010,7,GNB,Sun,October 24,W,N,H,MIN,28,24,21,35,295,2,2,0,0,8.4,8.4,60.0,82.4,23,84,3.7,1,0,0,4,4,2,90,6,11,1,3,28:56,16,29,206,1,3,1,6,7.3,6.9,55.2,49.6,36,196,5.4,2,6,14,2,3,31:04
2010,8,GNB,Sun,October 31,W,N,A,NYJ,9,0,15,34,156,0,0,2,14,5.0,4.3,44.1,58.0,26,81,3.1,0,3,4,0,0,8,352,2,14,0,0,28:37,16,38,241,0,2,2,15,6.7,6.0,42.1,41.7,29,119,4.1,0,7,17,0,3,31:23
2010,9,GNB,Sun,November 7,W,N,H,DAL,45,7,27,35,277,3,0,1,12,8.3,7.7,77.1,127.9,35,138,3.9,1,1,2,6,6,2,99,10,15,0,1,37:56,19,30,166,1,2,4,17,6.1,4.9,63.3,61.3,14,39,2.8,0,4,10,0,0,22:04
2010,11,GNB,Sun,November 21,W,N,A,MIN,31,3,23,32,283,4,0,3,23,9.6,8.1,71.9,138.4,30,91,3.0,0,1,1,4,4,5,196,8,15,0,1,33:16,17,38,207,0,1,1,1,5.5,5.3,44.7,51.1,18,93,5.2,0,4,13,0,2,26:44
