Season,Week,Tm_abb,Day,Date,W/L,OT,H/A,Opp_abb,Tm_score,Opp_score,O_P_Cmp,O_P_Att,O_P_Yds,O_P_TD,O_Int,O_Sk,O_Yds_lost_Sk,O_P_Y/A,O_P_NY/A,O_P_Cmp_pct,O_QBR,O_R_Att,O_R_Yds,O_R_Y/A,O_R_TD,FGM,FGA,XPM,XPA,Pnt,Pnt_Yds,O_3D_Conv,O_3D_Att,O_4D_Conv,O_4D_Att,O_ToP,D_P_Cmp,D_P_Att,D_P_Yds,D_P_TD,D_Int,D_Sk,D_Yds_lost_Sk,D_P_Y/A,D_P_NY/A,D_P_Cmp_pct,D_QBR,D_R_Att,D_R_Yds,D_R_Y/A,D_R_TD,D_3D_Conv,D_3D_Att,D_4D_Conv,D_4D_Att,D_ToP
2010,1,JAX,Sun,September 12,W,N,H,DEN,24,17,16,21,165,3,0,1,5,8.1,7.5,76.2,137.9,34,134,3.9,0,1,1,3,3,4,165,3,10,1,2,29:30,21,33,274,1,1,3,21,8.9,7.6,63.6,87.2,25,89,3.6,1,3,10,1,2,30:30
2010,2,JAX,Sun,September 19,L,N,A,SDG,13,38,26,42,279,1,4,2,14,7.0,6.3,61.9,49.7,24,71,3.0,0,2,2,1,1,0,0,6,12,1,3,30:24,22,29,326,3,2,1,8,11.5,10.9,75.9,117.9,30,151,5.0,2,4,8,0,0,29:36
2010,3,JAX,Sun,September 26,L,N,H,PHI,3,28,13,30,52,0,1,7,53,3.5,1.4,43.3,36.8,32,139,4.3,0,1,1,0,0,8,384,5,17,1,2,32:53,17,31,267,3,0,3,24,9.4,7.9,54.8,115.9,21,106,5.0,1,5,13,0,1,27:07
2010,4,JAX,Sun,October 3,W,N,H,CLT,31,28,17,22,163,2,0,0,0,7.4,7.4,77.3,127.7,35,174,5.0,2,1,1,4,4,4,170,9,13,0,0,29:46,33,46,348,2,1,1,4,7.7,7.4,71.7,98.8,19,58,3.1,2,7,10,1,1,30:14
2010,5,JAX,Sun,October 10,W,N,A,BUF,36,26,16,20,165,3,1,2,13,8.9,7.5,80.0,119.8,40,216,5.4,0,5,5,3,3,0,0,4,11,0,1,34:21,20,30,196,3,0,3,24,7.3,5.9,66.7,118.2,21,110,5.2,0,3,11,0,2,25:39
2010,6,JAX,Mon,October 18,L,N,H,OTI,3,30,21,36,173,0,3,2,16,5.3,4.6,58.3,36.0,25,76,3.0,0,1,1,0,0,3,112,3,13,2,4,27:15,14,21,171,2,0,0,0,8.1,8.1,66.7,123.3,39,153,3.9,1,8,14,1,1,32:45
2010,7,JAX,Sun,October 24,L,N,A,KAN,20,42,18,34,216,2,2,1,6,6.5,6.2,52.9,67.8,23,84,3.7,0,2,2,2,2,3,115,3,10,1,1,26:00,13,18,190,2,0,1,3,10.7,10.0,72.2,143.3,42,236,5.6,3,6,11,1,2,34:00
2010,8,JAX,Sun,October 31,W,N,A,DAL,35,17,17,21,238,4,0,3,22,12.4,9.9,81.0,153.5,34,149,4.4,1,0,0,5,5,5,242,6,12,0,0,32:35,34,49,365,1,4,2,14,7.7,7.2,69.4,63.7,22,50,2.3,1,6,13,2,3,27:25
2010,10,JAX,Sun,November 14,W,N,H,HTX,31,24,24,31,326,2,0,2,16,11.0,9.9,77.4,131.9,36,165,4.6,2,1,3,4,4,3,131,4,11,1,1,35:23,22,32,314,2,0,0,0,9.8,9.8,68.8,121.1,21,81,3.9,1,4,10,0,0,24:37
2010,11,JAX,Sun,November 21,W,N,H,CLE,24,20,20,35,226,2,4,4,28,7.3,5.8,57.1,56.1,28,145,5.2,1,1,1,3,3,2,67,4,11,2,2,31:28,17,28,195,1,1,6,46,8.6,5.7,60.7,78.7,26,88,3.4,0,7,16,0,0,28:32
2010,12,JAX,Sun,November 28,L,N,A,NYG,20,24,20,35,121,0,1,4,41,4.6,3.1,57.1,52.2,34,207,6.1,2,2,2,2,2,3,130,10,16,0,0,35:27,14,24,226,2,0,0,0,9.4,9.4,58.3,117.7,26,135,5.2,0,3,10,0,0,24:33
