Season,Week,Tm_abb,Day,Date,W/L,OT,H/A,Opp_abb,Tm_score,Opp_score,O_P_Cmp,O_P_Att,O_P_Yds,O_P_TD,O_Int,O_Sk,O_Yds_lost_Sk,O_P_Y/A,O_P_NY/A,O_P_Cmp_pct,O_QBR,O_R_Att,O_R_Yds,O_R_Y/A,O_R_TD,FGM,FGA,XPM,XPA,Pnt,Pnt_Yds,O_3D_Conv,O_3D_Att,O_4D_Conv,O_4D_Att,O_ToP,D_P_Cmp,D_P_Att,D_P_Yds,D_P_TD,D_Int,D_Sk,D_Yds_lost_Sk,D_P_Y/A,D_P_NY/A,D_P_Cmp_pct,D_QBR,D_R_Att,D_R_Yds,D_R_Y/A,D_R_TD,D_3D_Conv,D_3D_Att,D_4D_Conv,D_4D_Att,D_ToP
2010,1,MIA,Sun,September 12,W,N,A,BUF,15,10,21,34,164,0,0,3,18,5.4,4.4,61.8,73.7,36,132,3.7,1,2,3,1,1,7,288,8,18,0,0,36:53,18,34,116,1,0,3,23,4.1,3.1,52.9,70.2,17,50,2.9,0,3,14,1,3,23:07
2010,2,MIA,Sun,September 19,W,N,A,MIN,14,10,9,15,106,1,0,2,8,7.6,6.2,60.0,103.7,29,120,4.1,0,0,0,2,2,6,242,5,11,0,0,24:12,22,36,208,0,3,3,17,6.3,5.3,61.1,42.4,33,156,4.7,1,5,14,1,4,35:48
2010,3,MIA,Sun,September 26,L,N,H,NYJ,23,31,26,45,352,2,1,2,11,8.1,7.5,57.8,88.4,23,84,3.7,0,3,3,2,2,4,138,7,15,0,1,32:48,15,28,256,3,0,0,0,9.1,9.1,53.6,120.5,29,146,5.0,1,6,11,0,0,27:12
2010,4,MIA,Mon,October 4,L,N,H,NWE,14,41,30,44,308,2,4,2,12,7.3,6.7,68.2,65.3,21,92,4.4,0,0,1,2,2,2,27,10,15,0,1,32:17,19,24,146,1,0,3,7,6.4,5.4,79.2,105.9,32,119,3.7,1,5,11,1,1,27:43
2010,6,MIA,Sun,October 17,W,Y,A,GNB,23,20,23,39,231,2,1,0,0,5.9,5.9,59.0,82.3,39,150,3.8,0,3,3,2,2,4,167,6,14,0,1,37:56,18,33,283,1,1,5,30,9.5,7.4,54.5,80.7,21,76,3.6,1,3,13,2,2,28:03
2010,7,MIA,Sun,October 24,L,N,H,PIT,22,23,23,36,249,1,1,1,8,7.1,6.7,63.9,81.8,21,64,3.0,0,5,5,1,1,3,145,3,12,0,1,29:11,19,27,290,2,0,3,12,11.2,9.7,70.4,130.2,27,58,2.1,0,6,15,0,0,30:49
2010,8,MIA,Sun,October 31,W,N,A,CIN,22,14,24,37,217,0,1,0,0,5.9,5.9,64.9,69.3,31,137,4.4,1,5,5,1,1,4,196,5,15,0,0,33:29,17,38,156,2,1,0,0,4.1,4.1,44.7,63.0,26,106,4.1,0,6,16,1,1,26:31
2010,9,MIA,Sun,November 7,L,N,A,RAV,10,26,22,34,216,0,3,2,15,6.8,6.0,64.7,45.7,17,73,4.3,1,1,2,1,1,3,144,6,12,0,0,21:38,21,28,256,2,0,4,23,10.0,8.0,75.0,126.5,39,146,3.7,0,6,13,1,2,38:22
2010,10,MIA,Sun,November 14,W,N,H,OTI,29,17,24,37,316,2,1,1,7,8.7,8.3,64.9,98.5,30,88,2.9,1,3,3,2,2,3,145,9,17,0,1,33:04,18,38,124,1,1,2,19,3.8,3.1,47.4,53.0,25,135,5.4,1,5,16,0,1,26:56
2010,11,MIA,Thu,November 18,L,N,H,CHI,0,16,17,29,148,0,1,6,39,6.4,4.2,58.6,57.8,13,39,3.0,0,0,0,0,0,7,281,1,11,1,2,22:09,16,25,133,0,1,3,23,6.2,4.8,64.0,60.9,40,135,3.4,1,10,18,0,0,37:51
2010,12,MIA,Sun,November 28,W,N,A,RAI,33,17,17,30,285,2,1,3,22,10.2,8.6,56.7,97.2,49,186,3.8,1,4,6,3,3,2,93,9,19,1,1,41:38,17,32,247,1,2,1,5,7.9,7.5,53.1,62.9,12,16,1.3,0,2,9,0,2,18:22
2010,13,MIA,Sun,December 5,L,N,H,CLE,10,13,16,32,167,1,3,1,7,5.4,5.1,50.0,36.8,32,114,3.6,0,1,2,1,1,7,348,4,14,0,0,30:36,24,34,200,1,0,2,17,6.4,5.6,70.6,95.2,22,52,2.4,0,2,14,0,0,29:24
2010,14,MIA,Sun,December 12,W,N,A,NYJ,10,6,5,19,30,1,0,5,25,2.9,1.3,26.3,57.1,32,101,3.2,0,1,1,1,1,10,564,3,15,0,0,26:12,17,44,193,0,1,6,23,4.9,3.9,38.6,43.1,31,87,2.8,0,6,21,0,3,33:48
2010,15,MIA,Sun,December 19,L,N,H,BUF,14,17,33,45,261,1,1,3,15,6.1,5.4,73.3,85.5,19,65,3.4,1,0,4,2,2,3,138,4,12,0,0,31:23,16,26,211,2,1,2,12,8.6,7.5,61.5,96.8,27,71,2.6,0,4,12,1,1,28:37
2010,16,MIA,Sun,December 26,L,N,H,DET,27,34,29,44,271,1,2,2,7,6.3,5.9,65.9,71.3,37,154,4.2,2,2,2,3,3,4,165,8,17,1,1,37:15,14,26,208,2,0,2,14,8.5,7.4,53.8,105.9,21,67,3.2,1,4,12,0,0,22:45
2010,17,MIA,Sun,January 2,L,N,A,NWE,7,38,16,37,206,1,1,5,34,6.5,4.9,43.2,59.1,16,44,2.8,0,0,1,1,1,6,288,4,13,0,1,23:41,17,29,321,3,0,0,0,11.1,11.1,58.6,131.5,45,181,4.0,1,11,17,0,2,36:19
2011,1,MIA,Mon,September 12,L,N,H,NWE,24,38,30,49,390,2,1,4,26,8.5,7.4,61.2,91.4,20,98,4.9,1,1,1,3,3,6,307,2,14,4,5,31:33,32,48,516,4,1,1,1,10.8,10.5,66.7,121.5,22,106,4.8,1,8,13,0,0,28:27
2011,2,MIA,Sun,September 18,L,N,H,HTX,13,23,12,30,153,1,1,2,17,5.7,4.8,40.0,53.9,28,153,5.5,0,2,4,1,1,3,181,4,12,0,1,25:54,21,29,207,2,0,3,23,7.9,6.5,72.4,115.2,36,138,3.8,0,5,15,1,1,34:06
2011,3,MIA,Sun,September 25,L,N,A,CLE,16,17,19,29,231,1,1,5,24,8.8,6.8,65.5,87.0,38,138,3.6,0,3,4,1,1,3,151,4,13,1,2,37:51,19,39,210,2,1,0,0,5.4,5.4,48.7,71.5,19,70,3.7,0,3,11,1,1,22:09
2011,4,MIA,Sun,October 2,L,N,A,SDG,16,26,20,30,176,0,2,3,18,6.5,5.3,66.7,54.3,22,72,3.3,1,3,3,1,1,3,135,3,10,0,0,26:42,21,31,295,1,0,2,12,9.9,8.9,67.7,108.9,28,116,4.1,1,7,14,0,0,33:18
2011,6,MIA,Mon,October 17,L,N,A,NYJ,6,24,16,34,190,0,2,4,14,6.0,5.0,47.1,40.1,25,118,4.7,0,2,2,0,0,7,305,2,13,0,1,29:39,14,25,192,1,0,2,9,8.0,7.1,56.0,94.1,29,104,3.6,1,6,15,0,0,30:21
2011,7,MIA,Sun,October 23,L,Y,H,DEN,15,18,22,33,173,1,0,4,24,6.0,4.7,66.7,89.6,31,94,3.0,0,3,3,0,0,8,397,3,14,0,0,33:19,13,27,131,2,0,6,30,6.0,4.0,48.1,87.1,40,177,4.4,0,4,16,0,0,34:17
2011,8,MIA,Sun,October 30,L,N,A,NYG,17,20,13,22,101,0,1,5,37,6.3,3.7,59.1,51.5,26,145,5.6,2,1,1,2,2,5,247,5,13,1,2,27:34,31,45,344,2,0,1,5,7.8,7.5,68.9,106.2,23,58,2.5,0,8,16,0,1,32:26
2011,9,MIA,Sun,November 6,W,N,A,KAN,31,3,17,23,244,3,0,0,0,10.6,10.6,73.9,147.5,24,107,4.5,1,1,1,4,4,5,221,3,10,0,0,25:21,20,39,227,0,0,5,26,6.5,5.2,51.3,69.1,34,116,3.4,0,8,20,2,6,34:39
2011,10,MIA,Sun,November 13,W,N,H,WAS,20,9,20,29,200,0,1,2,9,7.2,6.5,69.0,73.9,33,103,3.1,2,2,3,2,2,1,49,8,14,0,1,33:33,21,32,185,0,2,3,30,6.7,5.3,65.6,54.8,16,61,3.8,0,5,13,0,0,26:27
2011,11,MIA,Sun,November 20,W,N,H,BUF,35,8,14,20,147,3,0,1,13,8.0,7.0,70.0,130.6,35,95,2.7,1,0,0,5,5,7,337,5,12,0,0,31:06,21,44,204,0,2,2,11,4.9,4.4,47.7,42.2,19,41,2.2,0,0,12,0,2,28:54
2011,12,MIA,Thu,November 24,L,N,A,DAL,19,20,19,32,263,1,0,4,25,9.0,7.3,59.4,96.2,25,89,3.6,0,4,5,1,1,4,198,3,12,0,0,31:28,22,34,218,2,2,1,8,6.6,6.2,64.7,77.8,23,85,3.7,0,2,9,0,0,28:32
2011,13,MIA,Sun,December 4,W,N,H,RAI,34,14,13,25,153,1,0,1,9,6.5,5.9,52.0,84.2,44,209,4.8,2,2,2,4,4,4,222,8,14,0,0,38:20,20,41,258,2,1,2,15,6.7,6.0,48.8,75.1,14,46,3.3,0,2,11,1,1,21:40
2011,14,MIA,Sun,December 11,L,N,H,PHI,10,26,17,29,95,1,1,9,60,5.3,2.5,58.6,61.7,26,109,4.2,0,1,2,1,1,6,321,3,15,0,3,28:39,15,30,188,1,1,4,20,6.9,5.5,50.0,67.1,32,51,1.6,2,4,15,0,0,31:21
2011,15,MIA,Sun,December 18,W,N,A,BUF,30,23,10,20,194,2,0,2,23,10.9,8.8,50.0,117.5,38,254,6.7,1,3,3,3,3,6,278,3,13,0,1,28:49,31,47,291,2,3,3,25,6.7,5.8,66.0,70.4,19,113,5.9,1,0,11,1,1,31:11
2011,16,MIA,Sat,December 24,L,N,A,NWE,24,27,16,32,253,3,1,5,28,8.8,6.8,50.0,94.9,28,121,4.3,0,1,1,3,3,6,269,5,13,0,0,29:04,27,46,281,1,0,4,23,6.6,5.6,58.7,83.7,31,119,3.8,2,8,17,1,1,30:56
