Season,Week,Tm_abb,Day,Date,W/L,OT,H/A,Opp_abb,Tm_score,Opp_score,O_P_Cmp,O_P_Att,O_P_Yds,O_P_TD,O_Int,O_Sk,O_Yds_lost_Sk,O_P_Y/A,O_P_NY/A,O_P_Cmp_pct,O_QBR,O_R_Att,O_R_Yds,O_R_Y/A,O_R_TD,FGM,FGA,XPM,XPA,Pnt,Pnt_Yds,O_3D_Conv,O_3D_Att,O_4D_Conv,O_4D_Att,O_ToP,D_P_Cmp,D_P_Att,D_P_Yds,D_P_TD,D_Int,D_Sk,D_Yds_lost_Sk,D_P_Y/A,D_P_NY/A,D_P_Cmp_pct,D_QBR,D_R_Att,D_R_Yds,D_R_Y/A,D_R_TD,D_3D_Conv,D_3D_Att,D_4D_Conv,D_4D_Att,D_ToP
2010,1,MIN,Thu,September 9,L,N,A,NOR,9,14,15,27,162,1,1,1,9,6.3,5.8,55.6,70.3,23,91,4.0,0,1,1,0,1,7,310,5,13,0,0,26:17,27,36,229,1,0,1,8,6.6,6.2,75.0,100.3,25,79,3.2,1,3,11,0,0,33:43
2010,2,MIN,Sun,September 19,L,N,H,MIA,10,14,22,36,208,0,3,3,17,6.3,5.3,61.1,42.4,33,156,4.7,1,1,1,1,1,2,88,5,14,1,4,35:48,9,15,106,1,0,2,8,7.6,6.2,60.0,103.7,29,120,4.1,0,5,11,0,0,24:12
2010,3,MIN,Sun,September 26,W,N,H,DET,24,10,23,34,185,1,2,2,16,5.9,5.1,67.6,66.4,30,183,6.1,2,1,1,3,3,5,216,3,11,0,0,31:52,29,43,232,1,2,1,5,5.5,5.3,67.4,69.1,19,63,3.3,0,3,12,1,1,28:08
2010,5,MIN,Mon,October 11,L,N,A,NYJ,20,29,14,34,240,3,1,4,24,7.8,6.3,41.2,83.0,24,96,4.0,0,0,0,2,2,7,297,7,15,0,0,26:05,21,44,173,0,0,2,18,4.3,3.8,47.7,58.2,32,155,4.8,1,5,17,0,0,33:55
2010,6,MIN,Sun,October 17,W,N,H,DAL,24,21,14,19,93,1,0,3,25,6.2,4.2,73.7,101.4,28,95,3.4,1,1,1,3,3,5,212,6,12,0,0,27:50,24,32,220,3,2,0,0,6.9,6.9,75.0,98.4,28,94,3.4,0,9,17,1,1,32:10
2010,7,MIN,Sun,October 24,L,N,A,GNB,24,28,16,29,206,1,3,1,6,7.3,6.9,55.2,49.6,36,196,5.4,2,1,1,3,3,2,100,6,14,2,3,31:04,21,35,295,2,2,0,0,8.4,8.4,60.0,82.4,23,84,3.7,1,6,11,1,3,28:56
2010,8,MIN,Sun,October 31,L,N,A,NWE,18,28,26,38,285,1,1,1,10,7.8,7.3,68.4,88.2,28,125,4.5,1,1,1,1,1,4,189,4,11,1,2,35:08,16,27,240,1,0,0,0,8.9,8.9,59.3,100.8,27,122,4.5,3,6,11,0,0,24:52
2010,9,MIN,Sun,November 7,W,Y,H,CRD,27,24,36,47,427,2,2,3,19,9.5,8.5,76.6,100.2,20,80,4.0,1,2,2,3,3,4,191,3,12,1,2,38:05,16,27,172,1,0,6,24,7.3,5.2,59.3,90.4,21,53,2.5,0,3,13,0,0,27:13
2010,10,MIN,Sun,November 14,L,N,A,CHI,13,27,18,31,170,1,3,1,0,5.5,5.3,58.1,44.5,22,70,3.2,0,2,3,1,1,4,176,1,9,0,0,25:21,22,35,230,3,2,2,7,6.8,6.2,62.9,86.6,37,130,3.5,0,11,19,0,0,34:39
2010,11,MIN,Sun,November 21,L,N,H,GNB,3,31,17,38,207,0,1,1,1,5.5,5.3,44.7,51.1,18,93,5.2,0,1,1,0,0,5,208,4,13,0,2,26:44,23,32,283,4,0,3,23,9.6,8.1,71.9,138.4,30,91,3.0,0,8,15,0,1,33:16
2010,12,MIN,Sun,November 28,W,N,A,WAS,17,13,15,23,162,0,0,2,10,7.5,6.5,65.2,85.8,38,137,3.6,2,1,1,2,2,7,306,6,15,0,0,33:05,21,35,187,1,1,4,24,6.0,4.8,60.0,72.0,13,29,2.2,0,7,15,0,0,26:55
2010,13,MIN,Sun,December 5,W,N,H,BUF,38,14,15,23,177,2,4,1,10,8.1,7.4,65.2,77.9,40,210,5.3,3,1,1,5,5,4,175,4,12,0,0,33:57,15,25,155,1,1,1,3,6.3,6.0,60.0,74.6,23,84,3.7,0,3,12,1,1,26:03
2010,14,MIN,Mon,December 13,L,N,H,NYG,3,21,17,35,103,0,1,4,23,3.6,2.6,48.6,43.2,22,61,2.8,0,1,1,0,0,10,458,2,16,3,3,27:18,22,37,182,1,2,1,5,5.1,4.8,59.5,58.6,28,213,7.6,2,3,13,0,1,32:42
2010,15,MIN,Mon,December 20,L,N,H,CHI,14,40,20,33,159,1,3,4,33,5.8,4.3,60.6,44.9,24,114,4.8,1,0,0,2,2,6,196,3,11,0,1,28:30,14,24,189,3,1,1,5,8.1,7.6,58.3,105.7,33,104,3.2,0,2,10,0,1,31:30
2010,16,MIN,Tue,December 28,W,N,A,PHI,24,14,17,26,176,0,0,2,19,7.5,6.3,65.4,84.8,31,161,5.2,2,1,1,3,3,6,232,6,13,0,0,30:21,25,43,224,1,1,6,39,6.1,4.6,58.1,70.3,22,107,4.9,1,4,11,1,1,29:39
2010,17,MIN,Sun,January 2,L,N,A,DET,13,20,20,32,137,0,1,3,8,4.5,3.9,62.5,59.0,24,74,3.1,0,2,2,1,1,5,215,6,14,0,0,29:08,28,39,250,1,1,1,8,6.6,6.3,71.8,86.5,27,107,4.0,1,9,15,0,0,30:52
2011,1,MIN,Sun,September 11,L,N,A,SDG,17,24,7,15,28,1,1,2,11,2.6,1.6,46.7,47.9,26,159,6.1,0,1,1,2,2,6,289,4,11,0,0,22:43,33,48,330,2,2,2,5,7.0,6.6,68.8,84.5,27,77,2.9,1,6,13,0,1,37:17
2011,2,MIN,Sun,September 18,L,N,H,TAM,20,24,18,30,212,0,0,2,16,7.6,6.6,60.0,81.5,33,186,5.6,2,2,2,2,2,4,165,5,11,0,0,33:30,22,31,230,1,1,2,13,7.8,7.0,71.0,89.4,19,105,5.5,2,7,12,0,0,26:30
2011,3,MIN,Sun,September 25,L,Y,H,DET,23,26,22,36,189,1,0,4,22,5.9,4.7,61.1,84.1,23,132,5.7,1,3,3,2,2,6,267,4,14,0,1,27:50,32,46,338,2,0,5,40,8.2,6.6,69.6,105.2,19,20,1.1,0,7,17,0,0,34:09
2011,4,MIN,Sun,October 2,L,N,A,KAN,17,22,18,30,190,2,1,2,12,6.7,5.9,60.0,86.8,30,151,5.0,0,1,1,2,2,4,213,5,14,2,3,32:10,18,29,247,1,0,3,13,9.0,7.7,62.1,100.8,28,103,3.7,0,6,15,0,0,27:50
2011,5,MIN,Sun,October 9,W,N,H,CRD,34,10,10,21,160,0,0,1,9,8.0,7.3,47.6,73.5,37,172,4.6,4,2,3,4,4,4,190,3,10,0,0,28:59,23,48,214,0,3,4,40,5.3,4.1,47.9,34.5,24,77,3.2,1,8,18,2,4,31:01
2011,6,MIN,Sun,October 16,L,N,A,CHI,10,39,28,42,233,0,0,5,43,6.6,5.0,66.7,80.8,17,53,3.1,1,1,2,1,1,5,186,6,15,0,2,29:20,21,31,258,2,0,1,9,8.6,8.1,67.7,114.7,28,119,4.3,1,4,11,0,0,30:40
2011,7,MIN,Sun,October 23,L,N,H,GNB,27,33,13,32,217,2,2,2,2,6.8,6.4,40.6,59.0,31,218,7.0,1,2,2,3,3,4,161,9,16,0,0,27:54,24,30,307,3,0,4,28,11.2,9.0,80.0,142.6,26,114,4.4,0,2,8,0,0,32:06
2011,8,MIN,Sun,October 30,W,N,A,CAR,24,21,18,28,229,1,0,4,7,8.4,7.2,64.3,101.6,33,132,4.0,2,1,2,3,3,4,179,7,14,0,0,32:05,22,35,265,3,0,3,25,8.3,7.0,62.9,114.6,27,140,5.2,0,6,12,1,1,27:55
2011,10,MIN,Mon,November 14,L,N,A,GNB,7,45,16,34,162,0,1,3,28,5.6,4.4,47.1,48.9,22,104,4.7,1,0,1,1,1,6,263,5,14,0,2,26:42,25,32,266,4,0,3,22,9.0,7.6,78.1,140.9,31,90,2.9,1,7,13,2,2,33:18
2011,11,MIN,Sun,November 20,L,N,H,RAI,21,27,19,33,187,2,3,5,24,6.4,4.9,57.6,56.0,24,124,5.2,1,0,0,3,3,3,133,6,15,0,2,24:16,17,23,139,1,0,4,25,7.1,5.1,73.9,103.4,41,162,4.0,2,5,14,0,0,35:44
2011,12,MIN,Sun,November 27,L,N,A,ATL,14,24,17,25,162,1,0,4,24,7.4,5.6,68.0,99.1,24,64,2.7,1,0,0,2,2,7,331,4,13,1,2,25:21,27,34,246,3,0,2,16,7.7,6.8,79.4,126.2,29,89,3.1,0,7,14,0,0,34:39
2011,13,MIN,Sun,December 4,L,N,H,DEN,32,35,30,48,360,3,2,3,29,8.1,7.1,62.5,88.9,30,129,4.3,0,3,3,3,3,6,297,6,15,0,0,37:51,10,15,186,2,0,2,16,13.5,10.9,66.7,148.9,32,150,4.7,1,3,11,0,0,22:09
2011,14,MIN,Sun,December 11,L,N,A,DET,28,34,23,44,156,3,3,4,43,4.5,3.3,52.3,54.7,35,269,7.7,1,0,0,4,4,2,97,8,14,3,3,28:46,20,29,208,2,0,5,19,7.8,6.1,69.0,112.4,21,72,3.4,0,8,16,0,0,31:14
2011,15,MIN,Sun,December 18,L,N,H,NOR,20,42,14,32,102,2,1,4,18,3.8,2.8,43.8,59.6,18,105,5.8,0,2,2,2,2,7,337,4,14,0,1,21:11,32,41,412,5,0,0,0,10.0,10.0,78.0,148.1,38,161,4.2,1,8,11,0,1,38:49
2011,16,MIN,Sat,December 24,W,N,A,WAS,33,26,12,18,148,2,0,2,4,8.4,7.4,66.7,128.9,38,241,6.3,2,2,3,3,4,3,133,4,11,0,0,29:34,26,41,256,2,1,3,28,6.9,5.8,63.4,87.0,24,141,5.9,0,3,10,0,0,30:26
2011,17,MIN,Sun,January 1,L,N,H,CHI,13,17,21,42,222,0,3,2,6,5.4,5.0,50.0,36.0,27,79,2.9,1,2,3,1,1,6,276,3,15,1,2,31:14,15,25,117,1,1,7,43,6.4,3.7,60.0,68.2,25,92,3.7,0,5,13,0,0,28:46
2012,1,MIN,Sun,September 9,W,Y,H,JAX,26,23,20,27,266,0,0,2,4,10.0,9.2,74.1,104.9,29,123,4.2,2,4,4,2,2,5,242,2,10,0,0,27:05,23,39,242,2,0,2,18,6.7,5.9,59.0,94.2,34,113,3.3,0,9,18,1,2,37:49
2012,2,MIN,Sun,September 16,L,N,A,CLT,20,23,27,35,232,2,0,4,13,7.0,5.9,77.1,113.0,26,95,3.7,0,2,2,2,2,4,192,7,15,1,1,30:22,20,31,194,2,0,2,30,7.2,5.9,64.5,103.4,30,84,2.8,0,7,16,0,0,29:38
2012,3,MIN,Sun,September 23,W,N,H,SFO,24,13,21,35,198,2,0,0,0,5.7,5.7,60.0,94.7,41,146,3.6,1,1,1,3,3,4,181,7,14,1,1,33:28,24,35,191,1,1,3,13,5.8,5.0,68.6,79.6,20,89,4.5,0,4,10,0,0,26:32
2012,4,MIN,Sun,September 30,W,N,A,DET,20,13,16,26,100,0,0,2,11,4.3,3.6,61.5,69.4,28,127,4.5,0,2,3,2,2,6,259,3,12,0,0,29:18,30,51,286,0,0,5,33,6.3,5.1,58.8,74.5,20,55,2.8,1,6,16,1,3,30:42
2012,5,MIN,Sun,October 7,W,N,H,OTI,30,7,25,35,258,2,2,1,0,7.4,7.2,71.4,87.6,31,175,5.6,1,3,3,3,3,3,138,3,11,0,0,33:06,29,48,215,1,1,2,19,4.9,4.3,60.4,69.4,19,52,2.7,0,8,17,1,2,26:54
