Season,Week,Tm_abb,Day,Date,W/L,OT,H/A,Opp_abb,Tm_score,Opp_score,O_P_Cmp,O_P_Att,O_P_Yds,O_P_TD,O_Int,O_Sk,O_Yds_lost_Sk,O_P_Y/A,O_P_NY/A,O_P_Cmp_pct,O_QBR,O_R_Att,O_R_Yds,O_R_Y/A,O_R_TD,FGM,FGA,XPM,XPA,Pnt,Pnt_Yds,O_3D_Conv,O_3D_Att,O_4D_Conv,O_4D_Att,O_ToP,D_P_Cmp,D_P_Att,D_P_Yds,D_P_TD,D_Int,D_Sk,D_Yds_lost_Sk,D_P_Y/A,D_P_NY/A,D_P_Cmp_pct,D_QBR,D_R_Att,D_R_Yds,D_R_Y/A,D_R_TD,D_3D_Conv,D_3D_Att,D_4D_Conv,D_4D_Att,D_ToP
2010,1,NOR,Thu,September 9,W,N,H,MIN,14,9,27,36,229,1,0,1,8,6.6,6.2,75.0,100.3,25,79,3.2,1,0,2,2,2,5,216,3,11,0,0,33:43,15,27,162,1,1,1,9,6.3,5.8,55.6,70.3,23,91,4.0,0,5,13,0,0,26:17
2010,2,NOR,Mon,September 20,W,N,A,SFO,25,22,28,38,237,2,0,2,17,6.7,5.9,73.7,107.0,24,50,2.1,0,3,3,2,2,6,280,6,14,0,0,32:40,23,32,275,1,2,0,0,8.6,8.6,71.9,82.2,26,142,5.5,2,5,9,0,0,27:20
2010,3,NOR,Sun,September 26,L,Y,H,ATL,24,27,30,38,355,3,2,2,10,9.6,8.9,78.9,110.0,16,43,2.7,0,1,2,3,3,2,98,6,11,1,2,27:15,19,30,215,2,0,2,13,7.6,6.7,63.3,106.9,50,202,4.0,1,9,18,2,3,45:50
2010,4,NOR,Sun,October 3,W,N,H,CAR,16,14,33,48,262,1,0,2,13,5.7,5.2,68.8,89.1,29,121,4.2,0,3,3,1,1,3,160,8,14,0,0,38:22,11,21,133,1,0,3,13,7.0,5.5,52.4,88.0,23,118,5.1,1,4,12,1,2,21:38
2010,5,NOR,Sun,October 10,L,N,A,CRD,20,30,24,39,273,2,3,1,6,7.2,6.8,61.5,67.6,22,85,3.9,0,2,3,2,2,3,138,5,11,0,0,30:01,18,29,153,0,1,4,21,6.0,4.6,62.1,61.4,24,41,1.7,0,4,15,1,1,29:59
2010,6,NOR,Sun,October 17,W,N,A,TAM,31,6,21,32,263,3,1,0,0,8.2,8.2,65.6,109.2,32,212,6.6,1,1,2,4,4,1,46,9,12,0,0,31:29,27,47,235,1,0,1,1,5.0,4.9,57.4,77.9,18,42,2.3,0,6,15,2,3,28:31
2010,7,NOR,Sun,October 24,L,N,H,CLE,17,30,37,56,336,2,4,3,20,6.4,5.7,66.1,64.3,18,58,3.2,0,1,1,2,2,4,204,5,15,3,3,35:34,10,17,85,0,0,1,2,5.1,4.7,58.8,71.9,28,125,4.5,1,2,11,1,1,24:26
2010,8,NOR,Sun,October 31,W,N,H,PIT,20,10,34,44,288,2,1,2,17,6.9,6.3,77.3,99.4,21,30,1.4,0,2,2,2,2,4,175,7,16,1,1,34:06,17,28,171,0,1,3,24,7.0,5.5,60.7,63.2,21,108,5.1,1,3,10,0,1,25:54
2010,9,NOR,Sun,November 7,W,N,A,CAR,34,3,27,43,243,2,1,1,10,5.9,5.5,62.8,83.8,32,165,5.2,1,2,2,4,4,5,232,7,14,0,1,34:41,17,36,68,0,1,4,39,3.0,1.7,47.2,42.4,24,127,5.3,0,1,12,1,2,25:19
2010,11,NOR,Sun,November 21,W,N,H,SEA,34,19,29,43,382,4,2,0,0,8.9,8.9,67.4,106.9,29,112,3.9,1,0,1,4,4,1,40,11,15,0,1,33:45,32,44,366,1,0,0,0,8.3,8.3,72.7,104.9,17,58,3.4,0,7,12,0,0,26:15
2010,12,NOR,Thu,November 25,W,N,A,DAL,30,27,23,39,333,1,1,2,19,9.0,8.1,59.0,84.7,21,81,3.9,2,3,3,3,3,2,120,6,14,0,1,25:19,30,42,313,0,1,1,0,7.5,7.3,71.4,82.7,32,144,4.5,3,7,15,1,3,34:41
2010,13,NOR,Sun,December 5,W,N,A,CIN,34,30,24,29,290,2,1,2,23,10.8,9.4,82.8,117.0,22,146,6.6,2,2,2,4,4,3,136,1,8,0,0,27:27,23,33,215,1,0,3,34,7.5,6.0,69.7,97.4,26,96,3.7,2,5,14,2,3,32:33
2010,14,NOR,Sun,December 12,W,N,H,RAM,31,13,25,40,213,3,2,1,8,5.5,5.2,62.5,80.5,29,132,4.6,0,1,1,4,4,2,90,11,16,0,1,33:01,18,32,191,0,2,3,40,7.2,5.5,56.3,47.8,24,136,5.7,1,1,11,2,2,26:59
2010,15,NOR,Sun,December 19,L,N,A,RAV,24,30,29,46,242,3,1,3,25,5.8,4.9,63.0,89.2,14,27,1.9,0,1,1,3,3,6,253,5,13,0,1,28:31,10,20,148,2,0,3,24,8.6,6.4,50.0,107.9,39,208,5.3,1,5,14,1,1,31:29
2010,16,NOR,Mon,December 27,W,N,A,ATL,17,14,35,49,296,1,2,1,6,6.2,5.9,71.4,76.6,24,72,3.0,1,1,1,2,2,7,317,8,17,0,0,36:35,15,29,140,1,0,1,8,5.1,4.7,51.7,76.8,22,75,3.4,0,3,12,0,0,23:25
2010,17,NOR,Sun,January 2,L,N,H,TAM,13,23,24,41,199,1,1,3,13,5.2,4.5,58.5,69.1,22,106,4.8,0,2,2,1,1,3,113,8,16,0,0,30:57,21,27,233,2,0,3,22,9.4,7.8,77.8,127.3,24,84,3.5,0,3,10,1,1,29:03
2011,1,NOR,Thu,September 8,L,N,A,GNB,34,42,32,49,396,3,0,3,23,8.6,7.6,65.3,110.6,21,81,3.9,0,2,2,4,4,2,98,9,14,0,1,27:06,27,35,296,3,0,2,16,8.9,8.0,77.1,130.2,27,103,3.8,2,8,12,0,0,32:54
2011,2,NOR,Sun,September 18,W,N,H,CHI,30,13,26,37,264,3,0,1,6,7.3,6.9,70.3,117.4,29,118,4.1,0,3,3,3,3,5,229,8,17,1,1,36:14,19,45,186,1,0,6,58,5.4,3.6,42.2,61.9,12,60,5.0,0,2,12,0,1,23:46
2011,3,NOR,Sun,September 25,W,N,H,HTX,40,33,31,44,354,3,2,2,16,8.4,7.7,70.5,98.1,22,100,4.5,2,1,1,3,3,3,148,8,13,0,0,29:54,22,39,364,3,1,2,9,9.6,8.9,56.4,102.9,25,109,4.4,0,6,14,0,1,30:06
2011,4,NOR,Sun,October 2,W,N,A,JAX,23,10,31,44,326,1,2,3,25,8.0,6.9,70.5,80.3,34,177,5.2,1,3,5,2,2,1,58,7,14,1,1,37:05,16,42,170,1,1,3,26,4.7,3.8,38.1,48.7,17,104,6.1,0,4,15,0,4,22:55
2011,5,NOR,Sun,October 9,W,N,A,CAR,30,27,32,45,343,2,1,2,16,8.0,7.3,71.1,98.7,28,101,3.6,1,3,3,3,3,2,90,12,17,0,0,34:40,16,31,219,2,1,1,5,7.2,6.8,51.6,82.6,22,162,7.4,2,7,12,0,0,25:20
2011,6,NOR,Sun,October 16,L,N,A,TAM,20,26,29,45,383,1,3,0,0,8.5,8.5,64.4,70.9,20,70,3.5,1,2,2,2,2,4,220,5,12,0,1,28:33,23,41,303,2,0,0,0,7.4,7.4,56.1,95.9,25,117,4.7,0,4,14,0,0,31:27
2011,7,NOR,Sun,October 23,W,N,H,CLT,62,7,31,35,321,5,0,2,4,9.3,8.7,88.6,144.5,38,236,6.2,2,2,2,8,8,1,53,6,8,0,0,38:19,12,22,97,0,1,1,5,4.6,4.2,54.5,47.0,23,155,6.7,1,4,11,0,0,21:41
2011,8,NOR,Sun,October 30,L,N,A,RAM,21,31,30,44,227,1,2,6,42,6.1,4.5,68.2,69.0,20,56,2.8,1,0,1,3,3,7,282,8,17,1,1,28:37,20,37,140,1,0,4,35,4.7,3.4,54.1,71.9,31,183,5.9,2,5,16,2,2,31:23
2011,9,NOR,Sun,November 6,W,N,H,TAM,27,16,27,36,258,2,1,0,0,7.2,7.2,75.0,101.4,28,195,7.0,1,2,3,3,3,2,113,5,10,0,0,30:04,27,37,281,1,0,1,0,7.6,7.4,73.0,103.5,20,84,4.2,0,2,12,1,2,29:56
2011,10,NOR,Sun,November 13,W,Y,A,ATL,26,23,30,43,322,2,0,0,0,7.5,7.5,69.8,106.9,16,41,2.6,0,4,5,2,2,5,202,4,13,0,0,30:03,29,52,343,2,1,1,8,6.8,6.5,55.8,80.8,32,138,4.3,0,5,16,2,3,36:32
2011,12,NOR,Mon,November 28,W,N,H,NYG,49,24,25,39,372,4,0,0,0,9.5,9.5,64.1,129.4,30,205,6.8,3,0,0,7,7,2,84,5,9,0,2,28:32,33,47,392,2,1,1,14,8.6,8.2,70.2,100.7,22,73,3.3,1,5,11,0,2,31:28
2011,13,NOR,Sun,December 4,W,N,H,DET,31,17,26,36,338,3,0,2,4,9.5,8.9,72.2,129.2,23,100,4.3,1,1,1,4,4,4,179,6,12,0,1,24:54,31,44,379,1,1,3,29,9.3,8.1,70.5,94.8,22,87,4.0,1,2,11,0,1,35:06
2011,14,NOR,Sun,December 11,W,N,A,OTI,22,17,36,47,323,2,0,2,14,7.2,6.6,76.6,108.7,26,114,4.4,0,3,3,1,1,5,249,11,19,0,0,37:33,18,36,314,1,0,2,12,9.1,8.3,50.0,89.4,17,59,3.5,1,1,10,1,2,22:27
2011,15,NOR,Sun,December 18,W,N,A,MIN,42,20,32,41,412,5,0,0,0,10.0,10.0,78.0,148.1,38,161,4.2,1,0,1,6,6,1,51,8,11,0,1,38:49,14,32,102,2,1,4,18,3.8,2.8,43.8,59.6,18,105,5.8,0,4,14,0,1,21:11
2011,16,NOR,Mon,December 26,W,N,H,ATL,45,16,23,39,299,4,2,1,8,7.9,7.5,59.0,96.0,23,164,7.1,1,1,1,6,6,2,104,10,13,0,0,26:41,40,61,434,1,0,0,0,7.1,7.1,65.6,91.8,14,35,2.5,0,8,17,0,3,33:19
2011,17,NOR,Sun,January 1,W,N,H,CAR,45,17,31,38,409,5,1,0,0,10.8,10.8,81.6,140.1,35,208,5.9,1,1,1,6,6,1,64,6,9,0,1,34:34,15,25,137,1,1,2,21,6.3,5.1,60.0,71.6,24,164,6.8,1,0,5,0,0,25:26
2012,1,NOR,Sun,September 9,L,N,H,WAS,32,40,24,52,326,3,2,2,13,6.5,6.0,46.2,69.9,10,32,3.2,0,1,1,3,3,5,278,2,11,2,2,20:50,19,26,306,2,0,2,14,12.3,10.9,73.1,137.7,43,153,3.6,2,4,15,1,1,39:10
2012,2,NOR,Sun,September 16,L,N,A,CAR,27,35,31,49,323,1,2,1,2,6.6,6.5,63.3,72.1,27,163,6.0,2,2,2,3,3,3,148,7,13,0,1,30:24,14,20,244,1,0,1,9,12.7,11.6,70.0,127.9,41,219,5.3,3,6,12,0,1,29:36
2012,3,NOR,Sun,September 23,L,Y,H,KAN,24,27,20,36,205,3,1,4,35,6.7,5.1,55.6,88.3,19,83,4.4,0,1,2,3,3,6,335,5,13,0,0,26:01,26,44,237,0,1,3,11,5.6,5.0,59.1,64.3,45,273,6.1,1,7,18,2,2,42:32
2012,4,NOR,Sun,September 30,L,N,A,GNB,27,28,35,54,429,3,0,2,17,8.3,7.7,64.8,107.7,19,45,2.4,0,2,3,3,3,3,108,9,17,1,1,30:28,31,41,319,4,1,0,0,7.8,7.8,75.6,119.9,25,102,4.1,0,4,8,1,1,29:32
2012,5,NOR,Sun,October 7,W,N,H,SDG,31,24,29,45,351,4,1,3,19,8.2,7.3,64.4,108.7,21,53,2.5,0,1,1,4,4,4,207,9,16,0,1,29:26,27,42,310,2,1,5,44,8.4,6.6,64.3,92.4,18,117,6.5,1,4,12,0,0,30:34
2012,7,NOR,Sun,October 21,W,N,A,TAM,35,28,27,37,377,4,1,0,0,10.2,10.2,73.0,130.1,26,81,3.1,1,0,0,5,5,4,205,9,15,0,0,26:15,24,42,411,3,0,2,9,10.0,9.3,57.1,114.3,24,102,4.3,1,4,12,2,3,33:45
2012,8,NOR,Sun,October 28,L,N,A,DEN,14,34,22,42,201,2,1,1,12,5.1,4.7,52.4,71.6,17,51,3.0,0,0,0,2,2,8,413,1,12,2,3,24:46,22,30,305,3,0,0,0,10.2,10.2,73.3,138.9,41,225,5.5,1,5,13,0,0,35:14
2012,9,NOR,Mon,November 5,W,N,H,PHI,28,13,21,27,231,2,0,2,8,8.9,8.0,77.8,127.0,25,140,5.6,1,0,1,4,4,3,149,5,9,0,0,26:30,22,41,226,1,1,7,46,6.6,4.7,53.7,67.7,29,221,7.6,0,6,16,1,2,33:30
2012,10,NOR,Sun,November 11,W,N,H,ATL,31,27,21,32,292,3,1,1,6,9.3,8.8,65.6,113.0,29,148,5.1,1,1,1,4,4,5,250,4,10,0,0,27:25,34,52,408,3,1,1,3,7.9,7.7,65.4,100.5,18,46,2.6,0,8,16,0,2,32:35
2012,11,NOR,Sun,November 18,W,N,A,RAI,38,17,21,28,229,3,0,0,0,8.2,8.2,75.0,134.4,28,151,5.4,1,1,1,5,5,4,172,6,11,0,0,28:36,22,40,284,2,2,3,28,7.8,6.6,55.0,73.3,26,120,4.6,0,4,12,1,3,31:24
2012,12,NOR,Sun,November 25,L,N,H,SFO,21,31,26,41,231,3,2,5,36,6.5,5.0,63.4,82.5,21,59,2.8,0,0,0,3,3,5,252,3,11,1,3,29:54,16,25,231,1,1,0,0,9.2,9.2,64.0,90.6,31,144,4.6,1,6,13,0,0,30:06
2012,13,NOR,Thu,November 29,L,N,A,ATL,13,23,28,50,335,0,5,1,6,6.8,6.6,56.0,37.1,23,101,4.4,1,2,2,1,1,4,181,7,14,0,0,33:44,18,33,159,1,0,1,6,5.0,4.7,54.5,77.7,23,124,5.4,1,1,11,0,0,26:16
2012,14,NOR,Sun,December 9,L,N,A,NYG,27,52,26,43,345,1,2,1,9,8.2,7.8,60.5,74.3,24,142,5.9,1,2,2,3,3,4,202,5,13,0,1,30:18,22,35,259,4,2,0,0,7.4,7.4,62.9,99.6,27,135,5.0,2,5,11,0,0,29:42
2012,15,NOR,Sun,December 16,W,N,H,TAM,41,0,26,39,298,4,0,1,9,7.9,7.5,66.7,123.7,25,149,6.0,1,2,2,5,5,5,268,4,11,0,0,31:06,30,54,319,0,4,2,11,6.1,5.7,55.6,42.1,16,67,4.2,0,4,13,1,3,28:54
2012,16,NOR,Sun,December 23,W,Y,A,DAL,34,31,37,53,446,3,0,0,0,8.4,8.4,69.8,114.2,38,116,3.1,1,2,3,4,4,5,263,11,19,0,0,41:59,26,43,406,4,0,2,10,9.7,9.0,60.5,122.8,11,40,3.6,0,2,10,1,1,22:28
2012,17,NOR,Sun,December 30,L,N,H,CAR,38,44,29,43,378,4,1,2,18,9.2,8.4,67.4,116.2,18,63,3.5,0,1,1,5,5,6,276,4,12,2,2,26:05,17,34,257,0,1,1,3,7.6,7.3,50.0,63.0,39,273,7.0,5,10,16,0,0,33:55
2013,1,NOR,Sun,September 8,W,N,H,ATL,23,17,26,35,341,2,1,2,16,10.2,9.2,74.3,111.7,29,78,2.7,0,3,3,2,2,3,148,6,13,0,1,35:11,25,38,279,2,1,3,25,8.0,6.8,65.8,94.1,14,88,6.3,0,3,11,0,1,24:49
2013,2,NOR,Sun,September 15,W,N,A,TAM,16,14,26,46,296,1,2,4,26,7.0,5.9,56.5,65.1,20,75,3.8,0,3,4,1,1,4,175,5,14,0,1,32:36,9,22,113,1,1,1,12,5.7,4.9,40.9,53.8,33,160,4.8,0,5,13,0,0,27:24
2013,3,NOR,Sun,September 22,W,N,H,CRD,31,7,29,46,319,3,1,4,23,7.4,6.4,63.0,96.2,24,104,4.3,1,1,1,4,4,4,198,7,13,0,0,35:31,18,35,161,0,2,4,26,5.3,4.1,51.4,40.3,16,86,5.4,1,5,13,0,0,24:29
2013,4,NOR,Mon,September 30,W,N,H,MIA,38,17,30,39,397,4,0,2,16,10.6,9.7,76.9,142.8,24,68,2.8,1,1,2,5,5,3,142,6,13,0,0,33:49,22,35,216,1,3,4,33,7.1,5.5,62.9,54.0,19,115,6.1,1,3,9,0,0,26:11
2013,5,NOR,Sun,October 6,W,N,A,CHI,26,18,29,35,283,2,0,1,5,8.2,7.9,82.9,119.4,29,64,2.2,0,4,4,2,2,4,195,6,16,1,1,36:00,24,33,340,2,0,3,18,10.8,9.4,72.7,125.8,18,94,5.2,0,4,10,0,1,24:00
2013,6,NOR,Sun,October 13,L,N,A,NWE,27,30,17,36,230,2,1,1,6,6.6,6.2,47.2,75.0,26,131,5.0,1,2,2,3,3,6,268,5,14,0,0,28:09,25,43,235,1,1,5,34,6.3,4.9,58.1,71.4,35,141,4.0,2,5,15,1,3,31:51
2013,8,NOR,Sun,October 27,W,N,H,BUF,35,17,26,34,309,5,0,4,23,9.8,8.1,76.5,143.3,26,77,3.0,0,0,2,5,5,4,187,7,15,1,1,32:30,22,39,211,1,1,4,23,6.0,4.9,56.4,69.5,25,88,3.5,1,5,13,0,1,27:30
2013,9,NOR,Sun,November 3,L,N,A,NYJ,20,26,30,51,366,2,2,2,16,7.5,6.9,58.8,77.7,13,41,3.2,0,2,3,2,2,2,82,3,11,1,3,29:32,9,20,140,0,0,2,0,7.0,6.4,45.0,68.7,36,198,5.5,2,4,14,0,0,30:28
2013,10,NOR,Sun,November 10,W,N,H,DAL,49,17,34,41,383,4,0,1,9,9.6,9.1,82.9,138.1,38,242,6.4,3,0,1,7,7,1,33,9,12,1,1,39:32,10,24,104,1,0,3,24,5.3,3.9,41.7,68.7,16,89,5.6,1,0,9,0,0,20:28
2013,11,NOR,Sun,November 17,W,N,H,SFO,23,20,30,43,295,1,1,1,10,7.1,6.7,69.8,86.9,23,92,4.0,1,3,3,2,2,3,154,6,14,0,1,34:39,17,31,115,2,1,3,12,4.1,3.4,54.8,71.3,22,81,3.7,0,6,15,0,0,25:21
2013,12,NOR,Thu,November 21,W,N,A,ATL,17,13,23,33,271,2,0,1,7,8.4,8.0,69.7,114.6,25,103,4.1,0,1,1,2,2,4,198,7,13,0,1,26:14,30,39,264,0,0,5,28,7.5,6.0,76.9,94.4,22,91,4.1,1,6,12,0,0,33:46
