Season,Week,Tm_abb,Day,Date,W/L,OT,H/A,Opp_abb,Tm_score,Opp_score,O_P_Cmp,O_P_Att,O_P_Yds,O_P_TD,O_Int,O_Sk,O_Yds_lost_Sk,O_P_Y/A,O_P_NY/A,O_P_Cmp_pct,O_QBR,O_R_Att,O_R_Yds,O_R_Y/A,O_R_TD,FGM,FGA,XPM,XPA,Pnt,Pnt_Yds,O_3D_Conv,O_3D_Att,O_4D_Conv,O_4D_Att,O_ToP,D_P_Cmp,D_P_Att,D_P_Yds,D_P_TD,D_Int,D_Sk,D_Yds_lost_Sk,D_P_Y/A,D_P_NY/A,D_P_Cmp_pct,D_QBR,D_R_Att,D_R_Yds,D_R_Y/A,D_R_TD,D_3D_Conv,D_3D_Att,D_4D_Conv,D_4D_Att,D_ToP
2010,1,NYG,Sun,September 12,W,N,H,CAR,31,18,20,30,258,3,3,1,5,8.8,8.3,66.7,87.2,36,118,3.3,1,1,1,4,4,3,86,5,14,1,1,34:39,14,35,148,1,3,4,34,5.2,3.8,40.0,26.8,24,89,3.7,0,8,17,0,1,25:21
2010,2,NYG,Sun,September 19,L,N,A,CLT,14,38,13,24,137,2,1,4,24,6.7,4.9,54.2,81.4,25,120,4.8,0,0,0,2,2,6,273,3,11,0,1,24:54,20,26,250,3,0,1,5,9.8,9.3,76.9,144.7,43,160,3.7,1,4,11,0,0,35:06
2010,3,NYG,Sun,September 26,L,N,H,OTI,10,29,34,48,364,0,2,2,22,8.0,7.3,70.8,75.3,20,107,5.4,1,1,3,1,1,0,0,6,12,0,2,31:38,10,16,110,1,0,1,8,7.4,6.5,62.5,103.6,41,161,3.9,2,6,13,0,0,28:22
2010,4,NYG,Sun,October 3,W,N,H,CHI,17,3,18,30,183,0,0,2,12,6.5,5.7,60.0,77.5,32,189,5.9,2,1,2,2,2,7,294,3,12,0,0,33:25,15,26,51,0,2,10,63,4.4,1.4,57.7,30.6,16,59,3.7,0,0,13,0,1,26:35
2010,5,NYG,Sun,October 10,W,N,A,HTX,34,10,27,42,297,3,2,0,0,7.1,7.1,64.3,89.1,32,117,3.7,1,2,2,4,4,4,197,5,14,0,0,38:51,16,34,171,0,1,3,25,5.8,4.6,47.1,50.0,15,24,1.6,1,2,11,0,1,21:09
2010,6,NYG,Sun,October 17,W,N,H,DET,28,20,20,30,167,2,0,2,10,5.9,5.2,66.7,103.1,30,167,5.6,2,0,0,4,4,6,280,5,13,0,1,32:42,28,49,302,2,1,2,11,6.4,5.9,57.1,80.5,21,64,3.0,0,9,20,2,2,27:18
2010,7,NYG,Mon,October 25,W,N,A,DAL,41,35,25,35,297,4,3,1,9,8.7,8.3,71.4,99.3,37,200,5.4,1,2,2,5,5,3,165,5,13,0,0,37:31,21,40,213,3,0,3,13,5.7,5.0,52.5,93.0,13,41,3.2,0,0,10,1,2,22:29
2010,9,NYG,Sun,November 7,W,N,A,SEA,41,7,21,32,290,3,0,0,0,9.1,9.1,65.6,125.8,47,197,4.2,2,2,2,5,5,1,50,6,13,1,2,42:34,12,23,113,1,2,0,0,4.9,4.9,52.2,44.3,14,49,3.5,0,1,8,1,2,17:26
2010,10,NYG,Sun,November 14,L,N,H,DAL,20,33,33,48,373,2,2,0,0,7.8,7.8,68.8,88.3,28,107,3.8,0,2,2,2,2,4,169,6,15,0,1,37:51,13,22,327,3,1,0,0,14.9,14.9,59.1,124.1,28,100,3.6,0,3,11,0,1,22:09
2010,11,NYG,Sun,November 21,L,N,A,PHI,17,27,20,33,147,2,3,0,0,4.5,4.5,60.6,53.5,19,61,3.2,0,1,1,2,2,4,208,5,11,0,1,25:56,24,38,244,0,0,3,14,6.8,6.0,63.2,81.5,26,148,5.7,2,3,14,2,2,34:04
2010,12,NYG,Sun,November 28,W,N,H,JAX,24,20,14,24,226,2,0,0,0,9.4,9.4,58.3,117.7,26,135,5.2,0,3,3,1,1,3,149,3,10,0,0,24:33,20,35,121,0,1,4,41,4.6,3.1,57.1,52.2,34,207,6.1,2,10,16,0,0,35:27
2010,13,NYG,Sun,December 5,W,N,H,WAS,31,7,15,25,161,0,1,0,0,6.4,6.4,60.0,62.2,36,197,5.5,4,1,1,4,4,7,309,2,10,0,0,34:28,26,44,264,1,2,4,32,6.7,5.5,59.1,65.0,16,74,4.6,0,5,12,0,0,25:32
2010,14,NYG,Mon,December 13,W,N,A,MIN,21,3,22,37,182,1,2,1,5,5.1,4.8,59.5,58.6,28,213,7.6,2,0,0,3,3,7,324,3,13,0,1,32:42,17,35,103,0,1,4,23,3.6,2.6,48.6,43.2,22,61,2.8,0,2,16,3,3,27:18
2010,15,NYG,Sun,December 19,L,N,H,PHI,31,38,23,39,264,4,1,2,25,7.4,6.4,59.0,102.9,31,100,3.2,0,1,1,4,4,7,258,8,17,0,0,33:29,21,35,221,3,1,3,21,6.9,5.8,60.0,95.1,21,197,9.4,1,4,11,0,0,26:31
2010,16,NYG,Sun,December 26,L,N,A,GNB,17,45,17,33,296,2,4,1,5,9.1,8.7,51.5,63.0,21,90,4.3,0,1,1,2,2,4,169,4,12,1,1,22:59,25,37,396,4,0,2,8,10.9,10.2,67.6,139.0,35,119,3.4,2,6,13,0,0,37:01
