Season,Week,Tm_abb,Day,Date,W/L,OT,H/A,Opp_abb,Tm_score,Opp_score,O_P_Cmp,O_P_Att,O_P_Yds,O_P_TD,O_Int,O_Sk,O_Yds_lost_Sk,O_P_Y/A,O_P_NY/A,O_P_Cmp_pct,O_QBR,O_R_Att,O_R_Yds,O_R_Y/A,O_R_TD,FGM,FGA,XPM,XPA,Pnt,Pnt_Yds,O_3D_Conv,O_3D_Att,O_4D_Conv,O_4D_Att,O_ToP,D_P_Cmp,D_P_Att,D_P_Yds,D_P_TD,D_Int,D_Sk,D_Yds_lost_Sk,D_P_Y/A,D_P_NY/A,D_P_Cmp_pct,D_QBR,D_R_Att,D_R_Yds,D_R_Y/A,D_R_TD,D_3D_Conv,D_3D_Att,D_4D_Conv,D_4D_Att,D_ToP
2010,1,PHI,Sun,September 12,L,N,H,GNB,20,27,21,34,171,1,0,6,28,5.9,4.3,61.8,84.3,20,149,7.5,1,2,2,2,2,5,249,5,13,0,1,28:05,19,31,167,2,2,3,21,6.1,4.9,61.3,70.2,33,132,4.0,1,6,14,0,0,31:55
2010,2,PHI,Sun,September 19,W,N,A,DET,35,32,21,34,248,2,0,5,36,8.4,6.4,61.8,103.6,29,162,5.6,3,0,0,5,5,7,341,6,14,0,0,30:52,25,45,329,2,2,2,6,7.4,7.0,55.6,75.1,26,115,4.4,2,6,15,0,2,29:08
2010,3,PHI,Sun,September 26,W,N,A,JAX,28,3,17,31,267,3,0,3,24,9.4,7.9,54.8,115.9,21,106,5.0,1,0,0,4,4,7,316,5,13,0,1,27:07,13,30,52,0,1,7,53,3.5,1.4,43.3,36.8,32,139,4.3,0,5,17,1,2,32:53
2010,4,PHI,Sun,October 3,L,N,H,WAS,12,17,27,42,243,1,1,1,7,6.0,5.7,64.3,77.8,25,110,4.4,0,2,2,0,0,5,248,5,14,2,2,32:57,8,19,124,1,1,1,1,6.6,6.2,42.1,60.0,35,169,4.8,1,5,11,0,0,27:03
2010,5,PHI,Sun,October 10,W,N,A,SFO,27,24,21,31,227,1,0,4,26,8.2,6.5,67.7,99.8,27,125,4.6,1,2,3,3,3,4,161,3,12,0,1,30:48,25,39,290,3,2,2,19,7.9,7.1,64.1,90.8,22,74,3.4,0,8,13,0,0,29:12
2010,6,PHI,Sun,October 17,W,N,H,ATL,31,17,23,29,320,3,1,1,6,11.2,10.7,79.3,132.8,38,154,4.1,1,1,4,4,4,2,90,7,14,1,1,34:03,23,42,228,2,1,3,22,6.0,5.1,54.8,76.3,19,65,3.4,0,4,14,1,1,25:57
2010,7,PHI,Sun,October 24,L,N,A,OTI,19,37,26,48,227,1,2,1,4,4.8,4.6,54.2,56.5,24,99,4.1,0,4,4,1,1,5,242,10,18,0,0,33:24,17,31,253,3,2,3,23,8.9,7.4,54.8,87.2,26,75,2.9,0,4,13,0,0,26:36
2010,9,PHI,Sun,November 7,W,N,H,CLT,26,24,17,29,207,1,0,3,11,7.5,6.5,58.6,92.2,31,195,6.3,1,4,4,2,2,4,148,7,15,0,0,31:50,31,51,276,1,2,3,18,5.8,5.1,60.8,65.5,19,62,3.3,2,6,14,0,1,28:10
2010,10,PHI,Mon,November 15,W,N,A,WAS,59,28,20,28,332,4,0,1,1,11.9,11.4,71.4,150.6,38,260,6.8,3,1,1,8,8,4,159,8,13,0,0,38:11,17,31,270,2,3,2,25,9.5,8.2,54.8,66.0,18,105,5.8,2,0,10,1,1,21:49
2010,11,PHI,Sun,November 21,W,N,H,NYG,27,17,24,38,244,0,0,3,14,6.8,6.0,63.2,81.5,26,148,5.7,2,4,5,1,1,3,134,3,14,2,2,34:04,20,33,147,2,3,0,0,4.5,4.5,60.6,53.5,19,61,3.2,0,5,11,0,1,25:56
2010,12,PHI,Sun,November 28,L,N,A,CHI,26,31,29,44,293,2,1,4,40,7.6,6.1,65.9,90.4,22,105,4.8,0,4,4,2,2,3,135,4,13,2,2,31:58,14,21,218,4,0,4,29,11.8,8.7,66.7,140.5,28,131,4.7,0,3,10,0,0,28:02
2010,13,PHI,Thu,December 2,W,N,H,HTX,34,24,22,33,301,2,1,1,1,9.2,8.9,66.7,103.2,29,115,4.0,2,2,2,4,4,3,107,6,12,0,0,31:49,22,36,323,2,1,2,14,9.4,8.5,61.1,97.3,26,108,4.2,1,6,10,0,1,28:11
2010,14,PHI,Sun,December 12,W,N,A,DAL,30,27,16,26,258,2,2,2,12,10.4,9.2,61.5,88.3,27,171,6.3,1,3,3,3,3,3,136,4,11,1,1,27:51,24,35,239,2,2,1,3,6.9,6.6,68.6,82.9,24,110,4.6,1,3,11,1,1,32:09
2010,15,PHI,Sun,December 19,W,N,A,NYG,38,31,21,35,221,3,1,3,21,6.9,5.8,60.0,95.1,21,197,9.4,1,1,1,5,5,6,247,4,11,0,0,26:31,23,39,264,4,1,2,25,7.4,6.4,59.0,102.9,31,100,3.2,0,8,17,0,0,33:29
2010,16,PHI,Tue,December 28,L,N,H,MIN,14,24,25,43,224,1,1,6,39,6.1,4.6,58.1,70.3,22,107,4.9,1,0,1,2,2,5,214,4,11,1,1,29:39,17,26,176,0,0,2,19,7.5,6.3,65.4,84.8,31,161,5.2,2,6,13,0,0,30:21
