Season,Week,Tm_abb,Day,Date,W/L,OT,H/A,Opp_abb,Tm_score,Opp_score,O_P_Cmp,O_P_Att,O_P_Yds,O_P_TD,O_Int,O_Sk,O_Yds_lost_Sk,O_P_Y/A,O_P_NY/A,O_P_Cmp_pct,O_QBR,O_R_Att,O_R_Yds,O_R_Y/A,O_R_TD,FGM,FGA,XPM,XPA,Pnt,Pnt_Yds,O_3D_Conv,O_3D_Att,O_4D_Conv,O_4D_Att,O_ToP,D_P_Cmp,D_P_Att,D_P_Yds,D_P_TD,D_Int,D_Sk,D_Yds_lost_Sk,D_P_Y/A,D_P_NY/A,D_P_Cmp_pct,D_QBR,D_R_Att,D_R_Yds,D_R_Y/A,D_R_TD,D_3D_Conv,D_3D_Att,D_4D_Conv,D_4D_Att,D_ToP
2010,1,PIT,Sun,September 12,W,Y,H,ATL,15,9,18,26,211,0,1,3,25,9.1,7.3,69.2,77.6,31,143,4.6,1,3,5,0,0,5,254,4,14,0,0,32:06,27,44,237,0,1,2,15,5.7,5.2,61.4,66.2,25,58,2.3,0,6,16,0,0,30:29
2010,2,PIT,Sun,September 19,W,N,A,OTI,19,11,9,17,21,0,0,4,22,2.5,1.0,52.9,58.7,33,106,3.2,0,4,4,1,1,8,348,2,15,0,0,33:40,24,35,192,1,3,4,23,6.1,4.9,68.6,55.9,22,46,2.1,0,4,14,1,1,26:20
2010,3,PIT,Sun,September 26,W,N,A,TAM,38,13,12,17,186,3,2,0,0,10.9,10.9,70.6,106.5,32,201,6.3,1,1,1,5,5,1,62,4,9,0,1,26:54,26,37,228,0,1,4,23,6.8,5.6,70.3,75.1,21,75,3.6,1,6,14,1,1,33:06
2010,4,PIT,Sun,October 3,L,N,H,RAV,14,17,12,21,126,0,1,2,15,6.7,5.5,57.1,54.9,27,84,3.1,2,0,2,2,2,5,247,4,11,0,0,29:29,24,37,250,1,1,1,6,6.9,6.6,64.9,82.0,27,70,2.6,1,4,11,0,1,30:31
2010,6,PIT,Sun,October 17,W,N,H,CLE,28,10,16,27,257,3,1,0,0,9.5,9.5,59.3,112.7,35,121,3.5,1,0,0,4,4,6,257,7,14,0,0,31:56,23,33,258,1,2,6,23,8.5,6.6,69.7,77.6,21,69,3.3,0,6,13,0,0,28:04
2010,7,PIT,Sun,October 24,W,N,A,MIA,23,22,19,27,290,2,0,3,12,11.2,9.7,70.4,130.2,27,58,2.1,0,3,3,2,2,3,142,6,15,0,0,30:49,23,36,249,1,1,1,8,7.1,6.7,63.9,81.8,21,64,3.0,0,3,12,0,1,29:11
2010,8,PIT,Sun,October 31,L,N,A,NOR,10,20,17,28,171,0,1,3,24,7.0,5.5,60.7,63.2,21,108,5.1,1,1,2,1,1,4,192,3,10,0,1,25:54,34,44,288,2,1,2,17,6.9,6.3,77.3,99.4,21,30,1.4,0,7,16,1,1,34:06
2010,9,PIT,Mon,November 8,W,N,A,CIN,27,21,18,28,193,2,1,1,9,7.2,6.7,64.3,93.3,32,121,3.8,1,2,3,3,3,5,203,6,14,0,0,32:19,22,36,218,2,1,4,30,6.9,5.5,61.1,85.2,18,54,3.0,1,3,12,0,1,27:41
2010,10,PIT,Sun,November 14,L,N,H,NWE,26,39,30,49,349,3,1,5,38,7.9,6.5,61.2,94.7,16,76,4.8,0,1,2,1,1,5,226,5,12,0,0,28:32,30,43,350,3,0,0,0,8.1,8.1,69.8,117.4,24,103,4.3,1,3,10,0,0,31:28
2010,11,PIT,Sun,November 21,W,N,H,RAI,35,3,18,29,269,3,0,2,6,9.5,8.7,62.1,126.9,33,162,4.9,2,0,0,5,5,7,315,7,14,0,0,32:47,20,43,121,0,2,6,47,3.9,2.5,46.5,34.0,16,61,3.8,0,3,14,0,1,27:13
