Season,Week,Tm_abb,Day,Date,W/L,OT,H/A,Opp_abb,Tm_score,Opp_score,O_P_Cmp,O_P_Att,O_P_Yds,O_P_TD,O_Int,O_Sk,O_Yds_lost_Sk,O_P_Y/A,O_P_NY/A,O_P_Cmp_pct,O_QBR,O_R_Att,O_R_Yds,O_R_Y/A,O_R_TD,FGM,FGA,XPM,XPA,Pnt,Pnt_Yds,O_3D_Conv,O_3D_Att,O_4D_Conv,O_4D_Att,O_ToP,D_P_Cmp,D_P_Att,D_P_Yds,D_P_TD,D_Int,D_Sk,D_Yds_lost_Sk,D_P_Y/A,D_P_NY/A,D_P_Cmp_pct,D_QBR,D_R_Att,D_R_Yds,D_R_Y/A,D_R_TD,D_3D_Conv,D_3D_Att,D_4D_Conv,D_4D_Att,D_ToP
2010,1,RAI,Sun,September 12,L,N,A,OTI,13,38,22,37,150,1,1,4,30,4.9,3.7,59.5,66.3,26,136,5.2,0,2,3,1,1,4,219,3,14,0,2,28:56,13,17,140,2,0,2,14,9.1,7.4,76.5,139.3,39,205,5.3,3,8,15,0,0,31:04
2010,2,RAI,Sun,September 19,W,N,H,RAM,16,14,19,36,231,1,2,2,18,6.9,6.1,52.8,58.9,40,173,4.3,0,3,4,1,1,3,129,7,17,0,1,36:49,14,25,135,2,1,3,32,6.7,4.8,56.0,81.2,21,75,3.6,0,2,10,0,0,23:11
2010,3,RAI,Sun,September 26,L,N,A,CRD,23,24,17,34,231,1,1,3,24,7.5,6.2,50.0,69.6,33,133,4.0,1,3,6,2,2,5,259,4,15,1,1,32:58,12,26,108,2,1,2,14,4.7,3.9,46.2,67.5,26,119,4.6,0,5,13,1,1,27:02
2010,4,RAI,Sun,October 3,L,N,H,HTX,24,31,24,39,245,2,2,4,33,7.1,5.7,61.5,75.3,25,118,4.7,1,1,1,3,3,5,215,5,12,0,1,30:31,16,29,192,2,0,0,0,6.6,6.6,55.2,98.6,36,249,6.9,2,6,13,0,0,29:29
2010,5,RAI,Sun,October 10,W,N,H,SDG,35,27,14,25,168,1,0,3,5,6.9,6.0,56.0,90.1,30,111,3.7,1,2,2,3,3,4,211,6,15,2,3,27:14,27,42,415,2,0,3,16,10.3,9.2,64.3,112.7,26,91,3.5,1,5,12,0,1,32:46
2010,6,RAI,Sun,October 17,L,N,A,SFO,9,17,8,21,69,0,2,2,14,4.0,3.0,38.1,7.9,30,110,3.7,0,3,3,0,0,6,321,5,15,0,0,26:39,16,33,191,2,0,2,5,5.9,5.5,48.5,86.8,31,158,5.1,0,7,17,0,0,33:21
2010,7,RAI,Sun,October 24,W,N,A,DEN,59,14,12,20,180,2,0,2,24,10.2,8.2,60.0,122.9,52,328,6.3,5,1,1,8,8,4,166,6,13,1,1,38:39,12,29,165,2,1,4,33,6.8,5.0,41.4,68.9,17,75,4.4,0,2,11,0,2,21:21
2010,8,RAI,Sun,October 31,W,N,H,SEA,33,3,15,27,306,2,0,2,4,11.5,10.6,55.6,120.3,39,239,6.1,1,4,5,3,3,5,264,5,17,1,1,36:04,13,32,117,0,1,8,46,5.1,2.9,40.6,38.2,19,47,2.5,0,1,16,1,1,23:56
2010,9,RAI,Sun,November 7,W,Y,H,KAN,23,20,19,34,209,1,1,4,20,6.7,5.5,55.9,71.8,26,112,4.3,0,3,4,2,2,6,277,3,12,0,1,29:43,20,35,200,2,1,3,16,6.2,5.3,57.1,80.7,34,104,3.1,0,3,15,0,1,33:10
2010,11,RAI,Sun,November 21,L,N,A,PIT,3,35,20,43,121,0,2,6,47,3.9,2.5,46.5,34.0,16,61,3.8,0,1,1,0,0,8,390,3,14,0,1,27:13,18,29,269,3,0,2,6,9.5,8.7,62.1,126.9,33,162,4.9,2,7,14,0,0,32:47
2010,12,RAI,Sun,November 28,L,N,H,MIA,17,33,17,32,247,1,2,1,5,7.9,7.5,53.1,62.9,12,16,1.3,0,1,1,2,2,4,167,2,9,0,2,18:22,17,30,285,2,1,3,22,10.2,8.6,56.7,97.2,49,186,3.8,1,9,19,1,1,41:38
2010,13,RAI,Sun,December 5,W,N,A,SDG,28,13,10,16,117,1,0,1,0,7.3,6.9,62.5,105.5,52,251,4.8,3,0,0,4,4,4,160,8,15,2,2,38:39,23,39,265,1,1,4,15,7.2,6.2,59.0,77.4,8,21,2.6,0,3,10,0,2,21:21
2010,14,RAI,Sun,December 12,L,N,A,JAX,31,38,22,33,323,2,1,3,21,10.4,9.0,66.7,106.0,25,153,6.1,2,1,1,4,4,5,210,6,13,0,1,30:05,11,22,151,3,1,2,8,7.2,6.3,50.0,93.0,34,234,6.9,2,5,12,0,0,29:55
2010,15,RAI,Sun,December 19,W,N,H,DEN,39,23,15,26,238,1,2,0,0,9.2,9.2,57.7,69.1,41,264,6.4,3,3,3,4,4,4,148,2,11,1,1,33:57,8,16,129,1,0,2,9,8.6,7.2,50.0,98.2,33,106,3.2,1,2,12,0,0,26:03
