Season,Week,Tm_abb,Day,Date,W/L,OT,H/A,Opp_abb,Tm_score,Opp_score,O_P_Cmp,O_P_Att,O_P_Yds,O_P_TD,O_Int,O_Sk,O_Yds_lost_Sk,O_P_Y/A,O_P_NY/A,O_P_Cmp_pct,O_QBR,O_R_Att,O_R_Yds,O_R_Y/A,O_R_TD,FGM,FGA,XPM,XPA,Pnt,Pnt_Yds,O_3D_Conv,O_3D_Att,O_4D_Conv,O_4D_Att,O_ToP,D_P_Cmp,D_P_Att,D_P_Yds,D_P_TD,D_Int,D_Sk,D_Yds_lost_Sk,D_P_Y/A,D_P_NY/A,D_P_Cmp_pct,D_QBR,D_R_Att,D_R_Yds,D_R_Y/A,D_R_TD,D_3D_Conv,D_3D_Att,D_4D_Conv,D_4D_Att,D_ToP
2010,1,RAM,Sun,September 12,L,N,H,CRD,13,17,32,55,240,1,3,2,13,4.6,4.2,58.2,52.1,24,85,3.5,0,2,3,1,1,6,325,8,20,2,3,32:51,22,41,266,1,0,2,31,7.2,6.2,53.7,82.0,21,112,5.3,1,5,13,0,0,27:09
2010,2,RAM,Sun,September 19,L,N,A,RAI,14,16,14,25,135,2,1,3,32,6.7,4.8,56.0,81.2,21,75,3.6,0,0,1,2,2,7,319,2,10,0,0,23:11,19,36,231,1,2,2,18,6.9,6.1,52.8,58.9,40,173,4.3,0,7,17,0,1,36:49
2010,3,RAM,Sun,September 26,W,N,H,WAS,30,16,23,37,232,1,1,1,3,6.4,6.1,62.2,77.8,37,133,3.6,2,3,4,3,3,3,138,7,16,2,2,34:50,19,32,233,1,1,1,3,7.4,7.1,59.4,79.3,17,116,6.8,0,1,10,0,0,25:10
2010,4,RAM,Sun,October 3,W,N,H,SEA,20,3,23,41,261,2,1,4,28,7.0,5.8,56.1,81.5,28,88,3.1,0,2,2,2,2,7,321,7,16,0,1,32:50,21,37,193,0,1,4,26,5.9,4.7,56.8,59.9,24,64,2.7,0,4,15,0,2,27:10
2010,5,RAM,Sun,October 10,L,N,A,DET,6,44,23,45,213,0,2,1,2,4.8,4.6,51.1,45.9,28,128,4.6,0,2,2,0,0,4,183,6,14,0,2,33:16,22,34,233,3,0,1,5,7.0,6.7,64.7,114.0,26,89,3.4,0,6,13,0,0,26:44
2010,6,RAM,Sun,October 17,W,N,H,SDG,20,17,18,31,183,1,0,3,15,6.4,5.4,58.1,85.8,35,117,3.3,1,2,2,2,2,6,247,7,17,0,0,33:23,22,37,208,1,1,7,41,6.7,4.7,59.5,72.8,17,79,4.6,1,4,12,0,0,26:37
2010,7,RAM,Sun,October 24,L,N,A,TAM,17,18,13,26,124,2,0,1,2,4.8,4.6,50.0,89.3,32,161,5.0,0,1,1,2,2,4,144,7,14,0,0,28:41,23,40,189,1,0,3,23,5.3,4.4,57.5,78.0,21,124,5.9,0,5,15,2,2,31:19
2010,8,RAM,Sun,October 31,W,N,H,CAR,20,10,25,32,184,2,0,2,7,6.0,5.4,78.1,111.5,29,62,2.1,0,2,3,2,2,5,241,6,15,0,0,36:28,23,37,176,1,3,3,18,5.2,4.4,62.2,48.9,17,25,1.5,0,7,14,0,0,23:32
2010,10,RAM,Sun,November 14,L,Y,A,SFO,20,23,30,42,228,1,0,3,23,6.0,5.1,71.4,92.2,24,104,4.3,1,2,2,2,2,10,437,2,14,0,0,35:03,17,28,323,1,0,5,33,12.7,9.8,60.7,112.6,26,98,3.8,1,0,11,1,1,30:18
2010,11,RAM,Sun,November 21,L,N,H,ATL,17,34,27,42,233,2,1,0,0,5.5,5.5,64.3,84.7,12,71,5.9,0,1,1,2,2,5,234,1,10,1,2,24:05,26,39,253,2,0,0,0,6.5,6.5,66.7,101.8,31,138,4.5,1,9,17,0,0,35:55
2010,12,RAM,Sun,November 28,W,N,A,DEN,36,33,22,37,308,3,0,2,0,8.3,7.9,59.5,113.3,35,123,3.5,1,3,4,3,4,5,204,6,16,1,1,34:17,24,41,330,3,0,3,17,8.5,7.5,58.5,108.8,18,119,6.6,1,1,9,1,2,25:43
2010,13,RAM,Sun,December 5,W,N,A,CRD,19,6,18,29,169,0,1,2,18,6.4,5.5,62.1,63.7,36,119,3.3,1,4,4,1,1,4,200,6,17,0,0,33:46,11,29,119,0,2,4,29,5.1,3.6,37.9,22.1,19,105,5.5,0,1,11,0,0,26:14
2010,14,RAM,Sun,December 12,L,N,A,NOR,13,31,18,32,191,0,2,3,40,7.2,5.5,56.3,47.8,24,136,5.7,1,2,3,1,1,4,219,1,11,2,2,26:59,25,40,213,3,2,1,8,5.5,5.2,62.5,80.5,29,132,4.6,0,11,16,0,1,33:01
