Season,Week,Tm_abb,Day,Date,W/L,OT,H/A,Opp_abb,Tm_score,Opp_score,O_P_Cmp,O_P_Att,O_P_Yds,O_P_TD,O_Int,O_Sk,O_Yds_lost_Sk,O_P_Y/A,O_P_NY/A,O_P_Cmp_pct,O_QBR,O_R_Att,O_R_Yds,O_R_Y/A,O_R_TD,FGM,FGA,XPM,XPA,Pnt,Pnt_Yds,O_3D_Conv,O_3D_Att,O_4D_Conv,O_4D_Att,O_ToP,D_P_Cmp,D_P_Att,D_P_Yds,D_P_TD,D_Int,D_Sk,D_Yds_lost_Sk,D_P_Y/A,D_P_NY/A,D_P_Cmp_pct,D_QBR,D_R_Att,D_R_Yds,D_R_Y/A,D_R_TD,D_3D_Conv,D_3D_Att,D_4D_Conv,D_4D_Att,D_ToP
2010,1,RAV,Mon,September 13,W,N,A,NYJ,10,9,20,38,233,0,1,2,15,6.5,5.8,52.6,60.5,35,49,1.4,1,1,1,1,1,6,244,11,19,0,0,38:32,10,21,60,0,0,2,14,3.5,2.6,47.6,54.3,21,116,5.5,0,1,11,0,1,21:28
2010,2,RAV,Sun,September 19,L,N,A,CIN,10,15,17,39,150,1,4,1,4,3.9,3.8,43.6,23.4,23,109,4.7,0,1,1,1,1,7,257,4,15,0,1,25:44,16,35,159,0,0,1,8,4.8,4.4,45.7,59.1,31,94,3.0,0,3,18,0,0,34:16
2010,3,RAV,Sun,September 26,W,N,H,CLE,24,17,23,32,256,3,0,0,0,8.0,8.0,71.9,126.6,27,109,4.0,0,1,2,3,3,3,146,6,12,0,0,30:08,18,24,131,1,0,2,10,5.9,5.0,75.0,101.2,29,173,6.0,1,4,11,0,0,29:52
2010,4,RAV,Sun,October 3,W,N,A,PIT,17,14,24,37,250,1,1,1,6,6.9,6.6,64.9,82.0,27,70,2.6,1,1,2,2,2,3,126,4,11,0,1,30:31,12,21,126,0,1,2,15,6.7,5.5,57.1,54.9,27,84,3.1,2,4,11,0,0,29:29
2010,5,RAV,Sun,October 10,W,N,H,DEN,31,17,14,25,182,0,0,1,14,7.8,7.0,56.0,79.1,47,233,5.0,4,1,1,4,4,4,174,7,13,0,1,36:17,23,38,307,2,0,1,7,8.3,7.9,60.5,103.7,13,39,3.0,0,5,13,0,0,23:43
2010,6,RAV,Sun,October 17,L,Y,A,NWE,20,23,27,35,278,2,0,3,7,8.1,7.3,77.1,118.5,34,99,2.9,0,2,2,2,2,9,404,5,16,0,0,40:14,27,44,267,1,2,3,25,6.6,5.7,61.4,67.1,26,127,4.9,1,4,14,0,1,32:50
2010,7,RAV,Sun,October 24,W,Y,H,BUF,37,34,16,31,229,3,0,2,21,8.1,6.9,51.6,108.1,29,135,4.7,1,3,3,4,4,5,221,2,11,1,1,25:30,29,43,382,4,2,1,0,8.9,8.7,67.4,106.9,35,132,3.8,0,11,17,1,2,38:36
2010,9,RAV,Sun,November 7,W,N,H,MIA,26,10,21,28,256,2,0,4,23,10.0,8.0,75.0,126.5,39,146,3.7,0,4,5,2,2,0,0,6,13,1,2,38:22,22,34,216,0,3,2,15,6.8,6.0,64.7,45.7,17,73,4.3,1,6,12,0,0,21:38
2010,10,RAV,Thu,November 11,L,N,A,ATL,21,26,22,34,204,3,1,2,11,6.3,5.7,64.7,98.2,21,116,5.5,0,0,0,3,3,4,198,6,11,0,0,24:51,32,50,302,3,0,2,14,6.3,5.8,64.0,100.6,23,60,2.6,0,12,20,0,0,35:09
2010,11,RAV,Sun,November 21,W,N,A,CAR,37,13,24,33,278,1,0,3,23,9.1,7.7,72.7,107.9,31,100,3.2,1,3,3,4,4,5,233,2,11,0,0,34:33,13,28,150,1,2,3,23,6.2,4.8,46.4,45.2,22,120,5.5,0,1,13,0,0,25:27
