Season,Week,Tm_abb,Day,Date,W/L,OT,H/A,Opp_abb,Tm_score,Opp_score,O_P_Cmp,O_P_Att,O_P_Yds,O_P_TD,O_Int,O_Sk,O_Yds_lost_Sk,O_P_Y/A,O_P_NY/A,O_P_Cmp_pct,O_QBR,O_R_Att,O_R_Yds,O_R_Y/A,O_R_TD,FGM,FGA,XPM,XPA,Pnt,Pnt_Yds,O_3D_Conv,O_3D_Att,O_4D_Conv,O_4D_Att,O_ToP,D_P_Cmp,D_P_Att,D_P_Yds,D_P_TD,D_Int,D_Sk,D_Yds_lost_Sk,D_P_Y/A,D_P_NY/A,D_P_Cmp_pct,D_QBR,D_R_Att,D_R_Yds,D_R_Y/A,D_R_TD,D_3D_Conv,D_3D_Att,D_4D_Conv,D_4D_Att,D_ToP
2010,1,SDG,Mon,September 13,L,N,A,KAN,14,21,22,39,280,2,0,2,18,7.6,6.8,56.4,96.1,29,109,3.8,0,0,0,2,2,8,382,4,15,1,3,37:28,10,22,62,1,0,1,6,3.1,2.7,45.5,67.6,26,135,5.2,1,1,11,0,1,22:32
2010,2,SDG,Sun,September 19,W,N,H,JAX,38,13,22,29,326,3,2,1,8,11.5,10.9,75.9,117.9,30,151,5.0,2,1,1,5,5,2,34,4,8,0,0,29:36,26,42,279,1,4,2,14,7.0,6.3,61.9,49.7,24,71,3.0,0,6,12,1,3,30:24
2010,3,SDG,Sun,September 26,L,N,A,SEA,20,27,29,53,429,2,2,4,26,8.6,7.5,54.7,78.3,21,89,4.2,0,1,1,1,1,5,207,6,14,0,2,36:04,19,32,203,1,1,3,17,6.9,5.8,59.4,75.4,21,68,3.2,0,6,13,0,0,23:56
2010,4,SDG,Sun,October 3,W,N,H,CRD,41,10,16,21,239,2,0,1,10,11.9,10.9,76.2,144.7,38,180,4.7,2,2,3,5,5,1,67,5,10,0,0,34:58,15,28,87,0,2,9,59,5.2,2.4,53.6,29.9,14,47,3.4,0,4,12,0,1,25:02
2010,5,SDG,Sun,October 10,L,N,A,RAI,27,35,27,42,415,2,0,3,16,10.3,9.2,64.3,112.7,26,91,3.5,1,2,2,3,3,3,42,5,12,0,1,32:46,14,25,168,1,0,3,5,6.9,6.0,56.0,90.1,30,111,3.7,1,6,15,2,3,27:14
2010,6,SDG,Sun,October 17,L,N,A,RAM,17,20,22,37,208,1,1,7,41,6.7,4.7,59.5,72.8,17,79,4.6,1,1,2,2,2,6,357,4,12,0,0,26:37,18,31,183,1,0,3,15,6.4,5.4,58.1,85.8,35,117,3.3,1,7,17,0,0,33:23
2010,7,SDG,Sun,October 24,L,N,H,NWE,20,23,34,50,325,1,1,2,11,6.7,6.3,68.0,84.2,19,38,2.0,1,2,3,2,2,2,96,7,15,1,1,34:25,19,32,128,1,0,4,31,5.0,3.6,59.4,78.6,22,51,2.3,1,3,12,1,2,25:35
2010,8,SDG,Sun,October 31,W,N,H,OTI,33,25,27,36,300,2,1,1,5,8.5,8.1,75.0,106.3,34,156,4.6,2,2,2,3,3,4,168,12,18,0,0,37:47,18,36,305,2,0,0,0,8.5,8.5,50.0,97.6,19,65,3.4,1,4,13,1,2,22:13
2010,9,SDG,Sun,November 7,W,N,A,HTX,29,23,17,23,290,4,1,1,5,12.8,12.1,73.9,137.2,26,77,3.0,0,0,0,3,3,3,86,4,9,0,0,26:11,21,32,252,0,1,2,15,8.3,7.4,65.6,76.6,34,140,4.1,2,6,13,0,2,33:49
2010,11,SDG,Mon,November 22,W,N,H,DEN,35,14,16,26,253,4,1,1,8,10.0,9.4,61.5,117.5,38,147,3.9,1,0,1,5,5,4,173,7,14,1,1,34:19,24,38,172,1,1,5,45,5.7,4.0,63.2,71.4,15,63,4.2,1,1,12,1,1,25:41
