Season,Week,Tm_abb,Day,Date,W/L,OT,H/A,Opp_abb,Tm_score,Opp_score,O_P_Cmp,O_P_Att,O_P_Yds,O_P_TD,O_Int,O_Sk,O_Yds_lost_Sk,O_P_Y/A,O_P_NY/A,O_P_Cmp_pct,O_QBR,O_R_Att,O_R_Yds,O_R_Y/A,O_R_TD,FGM,FGA,XPM,XPA,Pnt,Pnt_Yds,O_3D_Conv,O_3D_Att,O_4D_Conv,O_4D_Att,O_ToP,D_P_Cmp,D_P_Att,D_P_Yds,D_P_TD,D_Int,D_Sk,D_Yds_lost_Sk,D_P_Y/A,D_P_NY/A,D_P_Cmp_pct,D_QBR,D_R_Att,D_R_Yds,D_R_Y/A,D_R_TD,D_3D_Conv,D_3D_Att,D_4D_Conv,D_4D_Att,D_ToP
2010,1,SFO,Sun,September 12,L,N,A,SEA,6,31,26,45,214,0,2,2,11,5.0,4.6,57.8,51.5,19,49,2.6,0,2,2,0,0,6,249,1,15,2,3,32:45,18,23,165,2,1,1,5,7.4,6.9,78.3,107.4,23,77,3.3,1,5,11,0,0,27:15
2010,2,SFO,Mon,September 20,L,N,H,NOR,22,25,23,32,275,1,2,0,0,8.6,8.6,71.9,82.2,26,142,5.5,2,0,0,2,2,3,141,5,9,0,0,27:20,28,38,237,2,0,2,17,6.7,5.9,73.7,107.0,24,50,2.1,0,6,14,0,0,32:40
2010,3,SFO,Sun,September 26,L,N,A,KAN,10,31,23,42,208,1,1,5,24,5.5,4.4,54.8,66.4,15,43,2.9,0,1,1,1,1,8,378,4,17,2,3,26:10,16,27,250,3,1,0,0,9.3,9.3,59.3,111.7,39,207,5.3,1,7,14,1,2,33:50
2010,4,SFO,Sun,October 3,L,N,A,ATL,14,16,21,32,181,1,2,1,7,5.9,5.5,65.6,64.7,23,81,3.5,0,0,0,2,2,5,216,6,12,1,1,30:41,26,43,259,1,2,3,14,6.3,5.6,60.5,65.9,29,98,3.4,0,5,14,1,1,29:19
2010,5,SFO,Sun,October 10,L,N,H,PHI,24,27,25,39,290,3,2,2,19,7.9,7.1,64.1,90.8,22,74,3.4,0,1,2,3,3,3,161,8,13,0,0,29:12,21,31,227,1,0,4,26,8.2,6.5,67.7,99.8,27,125,4.6,1,3,12,0,1,30:48
2010,6,SFO,Sun,October 17,W,N,H,RAI,17,9,16,33,191,2,0,2,5,5.9,5.5,48.5,86.8,31,158,5.1,0,1,1,2,2,8,346,7,17,0,0,33:21,8,21,69,0,2,2,14,4.0,3.0,38.1,7.9,30,110,3.7,0,5,15,0,0,26:39
2010,7,SFO,Sun,October 24,L,N,A,CAR,20,23,14,32,183,1,1,2,13,6.1,5.4,43.8,59.8,22,99,4.5,0,2,2,2,2,7,353,4,13,0,0,23:55,28,41,303,2,1,1,5,7.5,7.2,68.3,95.9,34,76,2.2,0,7,15,0,1,36:05
2010,8,SFO,Sun,October 31,W,N,H,DEN,24,16,12,19,196,1,0,0,0,10.3,10.3,63.2,115.2,42,143,3.4,2,1,2,3,3,6,296,5,13,0,0,33:34,28,40,339,1,1,4,31,9.3,7.7,70.0,93.6,17,59,3.5,1,2,10,0,0,26:26
2010,10,SFO,Sun,November 14,W,Y,H,RAM,23,20,17,28,323,1,0,5,33,12.7,9.8,60.7,112.6,26,98,3.8,1,3,3,2,2,8,376,0,11,1,1,30:18,30,42,228,1,0,3,23,6.0,5.1,71.4,92.2,24,104,4.3,1,2,14,0,0,35:03
2010,11,SFO,Sun,November 21,L,N,H,TAM,0,21,16,31,118,0,1,6,30,4.8,3.2,51.6,47.5,18,71,3.9,0,0,0,0,0,6,227,3,12,0,3,23:36,14,22,137,2,0,2,6,6.5,5.7,63.6,111.4,42,162,3.9,1,7,14,0,1,36:24
2010,12,SFO,Mon,November 29,W,N,A,CRD,27,6,11,23,125,1,1,1,4,5.6,5.2,47.8,61.0,47,261,5.6,2,2,4,3,3,2,106,7,13,0,0,39:01,16,35,190,0,1,1,6,5.6,5.3,45.7,50.9,11,13,1.2,0,2,11,0,1,20:59
2010,13,SFO,Sun,December 5,L,N,A,GNB,16,34,10,25,172,1,1,4,22,7.8,5.9,40.0,60.7,22,97,4.4,0,3,3,1,1,5,236,3,12,1,1,22:49,21,30,274,3,0,4,24,9.9,8.1,70.0,131.8,34,136,4.0,1,9,15,0,0,37:11
2010,14,SFO,Sun,December 12,W,N,H,SEA,40,21,17,27,241,3,0,2,14,9.4,8.3,63.0,128.8,27,95,3.5,0,4,4,4,4,5,247,7,17,0,0,30:53,27,42,277,2,4,1,8,6.8,6.4,64.3,59.4,22,84,3.8,0,4,10,0,2,29:07
