Season,Week,Tm_abb,Day,Date,W/L,OT,H/A,Opp_abb,Tm_score,Opp_score,O_P_Cmp,O_P_Att,O_P_Yds,O_P_TD,O_Int,O_Sk,O_Yds_lost_Sk,O_P_Y/A,O_P_NY/A,O_P_Cmp_pct,O_QBR,O_R_Att,O_R_Yds,O_R_Y/A,O_R_TD,FGM,FGA,XPM,XPA,Pnt,Pnt_Yds,O_3D_Conv,O_3D_Att,O_4D_Conv,O_4D_Att,O_ToP,D_P_Cmp,D_P_Att,D_P_Yds,D_P_TD,D_Int,D_Sk,D_Yds_lost_Sk,D_P_Y/A,D_P_NY/A,D_P_Cmp_pct,D_QBR,D_R_Att,D_R_Yds,D_R_Y/A,D_R_TD,D_3D_Conv,D_3D_Att,D_4D_Conv,D_4D_Att,D_ToP
2010,1,TAM,Sun,September 12,W,N,H,CLE,17,14,17,28,169,2,1,3,13,6.5,5.5,60.7,86.8,30,119,4.0,0,1,1,2,2,7,288,7,17,0,1,32:21,21,38,236,1,2,0,0,6.2,6.2,55.3,60.9,23,104,4.5,1,5,13,0,1,27:39
2010,2,TAM,Sun,September 19,W,N,A,CAR,20,7,12,25,178,2,0,0,0,7.1,7.1,48.0,98.4,34,95,2.8,0,2,2,2,2,6,247,6,14,0,0,30:49,13,29,159,1,2,4,25,6.3,4.8,44.8,45.0,33,119,3.6,0,5,16,3,4,29:11
2010,3,TAM,Sun,September 26,L,N,H,PIT,13,38,26,37,228,0,1,4,23,6.8,5.6,70.3,75.1,21,75,3.6,1,2,2,1,1,5,155,6,14,1,1,33:06,12,17,186,3,2,0,0,10.9,10.9,70.6,106.5,32,201,6.3,1,4,9,0,1,26:54
2010,5,TAM,Sun,October 10,W,N,A,CIN,24,21,22,35,266,1,1,3,18,8.1,7.0,62.9,83.7,22,125,5.7,1,1,1,3,3,6,203,5,11,0,0,30:25,21,36,209,2,3,0,0,5.8,5.8,58.3,58.7,28,149,5.3,0,4,13,0,0,29:35
2010,6,TAM,Sun,October 17,L,N,H,NOR,6,31,27,47,235,1,0,1,1,5.0,4.9,57.4,77.9,18,42,2.3,0,0,2,0,0,3,137,6,15,2,3,28:31,21,32,263,3,1,0,0,8.2,8.2,65.6,109.2,32,212,6.6,1,9,12,0,0,31:29
2010,7,TAM,Sun,October 24,W,N,H,RAM,18,17,23,40,189,1,0,3,23,5.3,4.4,57.5,78.0,21,124,5.9,0,4,4,0,0,4,160,5,15,2,2,31:19,13,26,124,2,0,1,2,4.8,4.6,50.0,89.3,32,161,5.0,0,7,14,0,0,28:41
2010,8,TAM,Sun,October 31,W,N,A,CRD,38,35,18,25,253,1,0,2,25,11.1,9.4,72.0,117.6,30,154,5.1,2,1,2,5,5,6,252,4,12,1,1,30:29,24,40,296,2,4,1,9,7.6,7.2,60.0,60.0,23,100,4.3,2,7,13,1,2,29:31
2010,9,TAM,Sun,November 7,L,N,A,ATL,21,27,11,22,182,2,2,1,7,8.6,7.9,50.0,70.6,27,96,3.6,0,0,0,3,3,3,117,8,13,0,1,25:54,24,36,235,1,0,0,0,6.5,6.5,66.7,94.1,33,130,3.9,2,8,14,1,1,34:06
2010,10,TAM,Sun,November 14,W,N,H,CAR,31,16,18,24,235,2,0,1,6,10.0,9.4,75.0,133.2,30,186,6.2,2,1,1,4,4,4,177,5,10,0,0,31:20,16,29,182,0,0,2,9,6.6,5.9,55.2,74.2,31,118,3.8,1,6,15,0,1,28:40
2010,11,TAM,Sun,November 21,W,N,A,SFO,21,0,14,22,137,2,0,2,6,6.5,5.7,63.6,111.4,42,162,3.9,1,0,1,3,3,5,197,7,14,0,1,36:24,16,31,118,0,1,6,30,4.8,3.2,51.6,47.5,18,71,3.9,0,3,12,0,3,23:36
2010,12,TAM,Sun,November 28,L,N,A,RAV,10,17,17,37,162,1,0,0,0,4.4,4.4,45.9,67.6,23,101,4.4,0,1,1,1,1,9,340,6,16,0,0,28:58,25,35,257,2,1,4,32,8.3,6.6,71.4,99.3,26,92,3.5,0,3,12,0,0,31:02
2010,13,TAM,Sun,December 5,L,N,H,ATL,24,28,20,39,174,2,1,1,9,4.7,4.4,51.3,69.8,29,151,5.2,1,1,1,3,3,7,305,5,15,1,1,32:00,18,36,205,2,2,0,0,5.7,5.7,50.0,62.8,27,85,3.1,1,6,11,0,0,28:00
2010,14,TAM,Sun,December 12,W,N,A,WAS,17,16,15,25,262,1,0,1,4,10.6,10.1,60.0,109.1,26,103,4.0,0,3,3,0,0,4,176,5,12,0,0,28:52,22,35,211,2,0,2,17,6.5,5.7,62.9,98.6,28,188,6.7,0,6,16,2,2,31:08
2010,15,TAM,Sun,December 19,L,Y,H,DET,20,23,22,33,227,1,0,3,25,7.6,6.3,66.7,96.4,28,176,6.3,1,2,2,2,2,3,118,5,12,2,2,32:04,23,38,252,1,0,0,0,6.6,6.6,60.5,88.9,28,181,6.5,1,6,12,0,0,33:05
2010,16,TAM,Sun,December 26,W,N,H,SEA,38,15,23,28,231,5,0,2,21,9.0,7.7,82.1,140.6,26,208,8.0,0,1,2,5,5,3,135,6,11,0,0,31:28,14,22,84,0,0,3,6,4.1,3.4,63.6,71.0,28,90,3.2,2,5,15,2,2,28:32
2010,17,TAM,Sun,January 2,W,N,A,NOR,23,13,21,27,233,2,0,3,22,9.4,7.8,77.8,127.3,24,84,3.5,0,3,3,2,2,1,46,3,10,1,1,29:03,24,41,199,1,1,3,13,5.2,4.5,58.5,69.1,22,106,4.8,0,8,16,0,0,30:57
2011,1,TAM,Sun,September 11,L,N,H,DET,20,27,29,46,259,1,1,2,7,5.8,5.4,63.0,76.3,16,56,3.5,0,2,2,2,2,5,261,6,14,1,2,23:35,24,33,305,3,1,0,0,9.2,9.2,72.7,118.9,35,126,3.6,0,2,11,1,1,36:25
2011,2,TAM,Sun,September 18,W,N,A,MIN,24,20,22,31,230,1,1,2,13,7.8,7.0,71.0,89.4,19,105,5.5,2,1,1,3,3,4,183,7,12,0,0,26:30,18,30,212,0,0,2,16,7.6,6.6,60.0,81.5,33,186,5.6,2,5,11,0,0,33:30
2011,3,TAM,Sun,September 25,W,N,H,ATL,16,13,22,32,180,0,2,0,0,5.6,5.6,68.8,56.8,36,115,3.2,1,3,3,1,1,3,129,5,14,1,1,35:52,26,47,295,1,1,4,35,7.0,5.8,55.3,72.6,15,30,2.0,0,5,13,0,1,24:08
2011,4,TAM,Mon,October 3,W,N,H,CLT,24,17,25,39,274,1,0,2,13,7.4,6.7,64.1,93.3,36,192,5.3,2,1,2,3,3,5,220,7,17,2,2,39:00,13,30,256,2,0,4,25,9.4,7.5,43.3,96.0,18,62,3.4,0,4,13,0,0,21:00
2011,5,TAM,Sun,October 9,L,N,A,SFO,3,48,18,35,186,0,2,3,8,5.5,4.9,51.4,43.3,23,86,3.7,0,1,1,0,0,6,259,7,16,0,1,28:58,14,22,205,3,0,0,0,9.3,9.3,63.6,133.5,36,213,5.9,2,2,7,1,1,31:02
