Season,Week,Tm_abb,Day,Date,W/L,OT,H/A,Opp_abb,Tm_score,Opp_score,O_P_Cmp,O_P_Att,O_P_Yds,O_P_TD,O_Int,O_Sk,O_Yds_lost_Sk,O_P_Y/A,O_P_NY/A,O_P_Cmp_pct,O_QBR,O_R_Att,O_R_Yds,O_R_Y/A,O_R_TD,FGM,FGA,XPM,XPA,Pnt,Pnt_Yds,O_3D_Conv,O_3D_Att,O_4D_Conv,O_4D_Att,O_ToP,D_P_Cmp,D_P_Att,D_P_Yds,D_P_TD,D_Int,D_Sk,D_Yds_lost_Sk,D_P_Y/A,D_P_NY/A,D_P_Cmp_pct,D_QBR,D_R_Att,D_R_Yds,D_R_Y/A,D_R_TD,D_3D_Conv,D_3D_Att,D_4D_Conv,D_4D_Att,D_ToP
2010,1,WAS,Sun,September 12,W,N,H,DAL,13,7,15,32,161,0,0,1,10,5.3,4.9,46.9,62.1,23,89,3.9,0,2,2,1,1,6,247,3,13,0,1,25:57,31,48,277,1,0,1,5,5.9,5.7,64.6,86.9,22,103,4.7,0,5,13,1,1,34:03
2010,2,WAS,Sun,September 19,L,Y,H,HTX,27,30,28,38,403,1,0,3,23,11.2,9.8,73.7,116.4,17,18,1.1,2,2,4,3,3,4,192,2,10,0,0,31:47,38,52,468,3,1,5,29,9.6,8.2,73.1,111.7,24,58,2.4,0,6,14,1,2,39:49
2010,3,WAS,Sun,September 26,L,N,A,RAM,16,30,19,32,233,1,1,1,3,7.4,7.1,59.4,79.3,17,116,6.8,0,3,3,1,1,5,141,1,10,0,0,25:10,23,37,232,1,1,1,3,6.4,6.1,62.2,77.8,37,133,3.6,2,7,16,2,2,34:50
2010,4,WAS,Sun,October 3,W,N,A,PHI,17,12,8,19,124,1,1,1,1,6.6,6.2,42.1,60.0,35,169,4.8,1,1,1,2,2,5,186,5,11,0,0,27:03,27,42,243,1,1,1,7,6.0,5.7,64.3,77.8,25,110,4.4,0,5,14,2,2,32:57
2010,5,WAS,Sun,October 10,W,Y,H,GNB,16,13,26,49,322,1,1,5,35,7.3,6.0,53.1,72.0,21,51,2.4,0,3,4,1,1,8,357,5,17,0,1,34:14,27,46,270,1,1,4,23,6.4,5.4,58.7,73.6,17,157,9.2,0,2,13,0,1,32:40
2010,6,WAS,Sun,October 17,L,N,H,CLT,24,27,29,45,222,1,2,3,24,5.5,4.6,64.4,65.2,24,113,4.7,2,1,2,3,3,6,277,4,13,0,1,32:30,25,38,299,2,0,1,8,8.1,7.7,65.8,107.2,29,170,5.9,1,3,10,0,0,27:30
2010,7,WAS,Sun,October 24,W,N,A,CHI,17,14,17,32,187,1,2,2,13,6.3,5.5,53.1,55.1,28,121,4.3,0,1,2,2,2,7,233,2,13,0,0,29:12,26,40,256,1,4,4,25,7.0,5.8,65.0,51.7,16,66,4.1,0,2,10,0,0,30:48
2010,8,WAS,Sun,October 31,L,N,A,DET,25,37,21,37,195,1,1,7,59,6.9,4.4,56.8,69.1,19,80,4.2,1,2,2,1,1,9,361,2,14,1,2,27:50,26,45,202,4,1,1,10,4.7,4.4,57.8,89.3,25,102,4.1,0,4,17,1,1,32:10
2010,10,WAS,Mon,November 15,L,N,H,PHI,28,59,17,31,270,2,3,2,25,9.5,8.2,54.8,66.0,18,105,5.8,2,0,0,4,4,6,300,0,10,1,1,21:49,20,28,332,4,0,1,1,11.9,11.4,71.4,150.6,38,260,6.8,3,8,13,0,0,38:11
2010,11,WAS,Sun,November 21,W,Y,A,OTI,19,16,30,50,358,1,1,3,18,7.5,6.8,60.0,80.2,33,107,3.2,0,4,6,1,1,4,126,8,16,0,0,40:09,15,25,222,0,1,1,5,9.1,8.5,60.0,72.4,25,151,6.0,0,3,11,0,0,26:34
2010,12,WAS,Sun,November 28,L,N,H,MIN,13,17,21,35,187,1,1,4,24,6.0,4.8,60.0,72.0,13,29,2.2,0,2,2,1,1,6,263,7,15,0,0,26:55,15,23,162,0,0,2,10,7.5,6.5,65.2,85.8,38,137,3.6,2,6,15,0,0,33:05
2010,13,WAS,Sun,December 5,L,N,A,NYG,7,31,26,44,264,1,2,4,32,6.7,5.5,59.1,65.0,16,74,4.6,0,0,1,1,1,6,200,5,12,0,0,25:32,15,25,161,0,1,0,0,6.4,6.4,60.0,62.2,36,197,5.5,4,2,10,0,0,34:28
2010,14,WAS,Sun,December 12,L,N,H,TAM,16,17,22,35,211,2,0,2,17,6.5,5.7,62.9,98.6,28,188,6.7,0,1,3,1,1,5,193,6,16,2,2,31:08,15,25,262,1,0,1,4,10.6,10.1,60.0,109.1,26,103,4.0,0,5,12,0,0,28:52
2010,15,WAS,Sun,December 19,L,N,A,DAL,30,33,25,43,286,4,2,5,36,7.5,6.0,58.1,89.9,15,55,3.7,0,0,0,2,2,4,158,4,11,1,1,24:39,25,37,300,2,0,2,5,8.2,7.7,67.6,110.2,31,134,4.3,1,5,13,0,1,35:21
2010,16,WAS,Sun,December 26,W,Y,A,JAX,20,17,19,39,172,1,1,1,10,4.7,4.3,48.7,58.9,24,79,3.3,1,2,2,2,2,9,368,4,15,1,1,29:53,22,38,258,1,2,4,41,7.9,6.1,57.9,65.5,23,78,3.4,1,7,17,0,0,32:54
2010,17,WAS,Sun,January 2,L,N,H,NYG,14,17,26,44,318,2,1,2,18,7.6,6.9,59.1,87.1,20,67,3.4,0,0,1,2,2,4,174,3,12,0,2,27:40,17,29,243,1,1,0,0,8.4,8.4,58.6,83.0,32,82,2.6,1,5,16,0,0,32:20
2011,1,WAS,Sun,September 11,W,N,H,NYG,28,14,21,34,258,2,0,4,47,9.0,6.8,61.8,104.8,26,74,2.8,1,0,1,4,4,6,258,5,15,1,1,32:36,18,32,240,0,1,4,28,8.4,6.7,56.3,67.2,20,75,3.8,2,1,10,0,1,27:24
2011,2,WAS,Sun,September 18,W,N,H,CRD,22,21,25,43,283,2,2,1,8,6.8,6.4,58.1,74.1,35,172,4.9,0,3,4,1,1,3,118,6,17,1,1,38:30,17,30,231,2,1,3,20,8.4,7.0,56.7,89.7,15,93,6.2,1,3,9,0,0,21:30
2011,3,WAS,Mon,September 26,L,N,A,DAL,16,18,22,37,233,1,1,3,17,6.8,5.8,59.5,75.6,22,65,3.0,0,3,4,1,1,5,232,3,12,0,0,28:24,22,36,250,0,1,1,5,7.1,6.8,61.1,70.4,26,125,4.8,0,3,13,0,0,31:36
2011,4,WAS,Sun,October 2,W,N,A,RAM,17,10,15,29,143,1,2,0,0,4.9,4.9,51.7,48.5,40,196,4.9,1,1,1,2,2,7,321,9,18,0,0,35:10,20,43,127,1,0,7,37,3.8,2.5,46.5,61.1,17,45,2.6,0,6,18,1,2,24:50
2011,6,WAS,Sun,October 16,L,N,H,PHI,13,20,17,37,245,0,4,2,15,7.0,6.3,45.9,28.4,14,42,3.0,1,2,2,1,1,4,170,1,10,1,1,21:52,18,32,230,1,2,2,7,7.4,6.8,56.3,63.3,38,192,5.1,1,6,16,1,2,38:08
